Year,REER,REER_Index
1980,174.0521523359021,13.822778841439057
1981,241.23993601832134,19.158661576725173
1982,127.52323926854649,10.127571017629029
1983,125.51737773530967,9.968270601125283
1984,91.77814223313169,7.288786409939926
1985,106.93541478485274,8.492538409039092
1986,63.6940287902111,5.05841761604997
1987,44.01804475682414,3.4958010546856046
1988,44.27202185661944,3.515971269383584
1989,116.00273522464306,9.212641915037668
1990,109.78987503700185,8.719232375460079
1991,145.15863922955717,11.528129586826855
1992,318.0417306884808,25.25806458957861
1993,219.92753033929552,17.46608457422041
1994,284.89961686123894,22.626002281681103
1995,255.4563716560061,20.287694703267753
1996,282.8762529360633,22.465311869766673
1997,275.2475816181477,21.85946221455488
1998,431.4993794432528,34.26858221638873
1999,388.66243346348114,30.866581019768564
2000,411.67333846206117,32.69404851424048
2001,479.55484361289945,38.08502484249182
2002,640.0270984993733,50.8293227998186
2003,667.6154949592352,53.0203230128964
2004,653.2798826196829,51.88182517608819
2005,586.3154254049086,46.5636784603242
2006,786.081973456937,62.428629146552005
2007,794.8844030344374,63.12769569461922
2008,773.3916154482317,61.42079322025743
2009,896.0287230216729,71.16032009763795
2010,842.2684788631652,66.8908183678881
2011,794.9845625863846,63.13565011125151
2012,855.0411405209794,67.90519064046859
2013,1058.7300423595436,84.08164467900502
2014,1229.6473639907972,97.65546324644482
2015,1259.1690450411775,100.0
2016,1433.1846099898737,113.81987316429031
2017,1538.710192872701,122.20044631278097
2018,1971.3096784575948,156.55639615831953
2019,1647.013146912274,130.80159120798695
2020,1536.5415358864618,122.02821709583986
