Geography,Definition,Note,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bangladesh,"National currency per US$, period average.  Line rf of IFS.",,15.454058,17.986692,22.117883,24.615425,25.353933,27.994592,30.4069,30.949833,31.73325,32.27,34.568808,36.596183,38.950758,39.567258,40.211742,40.278317,41.794167,43.892117,46.905658,49.0854,52.141667,55.806667,57.888,58.150042,59.512658,64.327475,68.933233,68.874875,68.598275,69.039067,69.649292,74.1524,81.862658,78.103233,77.641408,77.946908,78.468092,80.437542,83.4662,84.453525,84.871392,85.083758
Barbados,"National currency per US$, period average. ",,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Belarus,"National currency per US$, period average. ","The Belarusian rubel was redenominated on July 1st 2016 at 10,000:1 by the National Bank of the Republic of Belarus",–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.000205,0.000818,0.000955,0.00225,0.003682,0.020456,0.071733,0.138292,0.1784,0.205175,0.216025,0.215392,0.214458,0.2146,0.213642,0.2793,0.297858,0.498975,0.833642,0.887942,1.022583,1.590692,1.988225,1.9322,2.037892,2.091783,2.4396,2.538675
Belgium,"National currency per US$, period average.","ECU:US$ pre-1999, Euro:US$ post-1999",0.718901,0.894758,1.019146,1.122004,1.267427,1.312016,1.016601,0.866302,0.844685,0.907114,0.785551,0.806121,0.771017,0.852949,0.841416,0.764361,0.787722,0.881605,0.892491,0.937352,1.082227,1.116525,1.058307,0.884269,0.804287,0.803356,0.79639,0.729586,0.679997,0.717737,0.753693,0.71854,0.777846,0.752934,0.752534,0.901205,0.903671,0.885518,0.846389,0.893178,0.876208,0.844932
Belize,"National currency per US$, period average. ",,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Benin,"National currency per US$, period average. ",,211.279167,271.7325,328.608333,381.065833,436.9575,449.264167,346.306667,300.5375,297.85,319.009167,272.265833,282.108333,264.694167,283.1625,555.205833,499.15,511.551667,583.670833,589.9525,615.673333,711.831667,732.899167,696.381667,581.059167,528.123333,527.79,522.86,479.264167,448.215833,472.024167,495.310833,471.765833,510.514167,494.045833,494.414167,591.45,593.014167,582.03,555.7,585.959167,575.5875,554.7
Bermuda,"National currency per US$, period average. ",,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bhutan,,,7.86295,8.658525,9.455125,10.098892,11.362583,12.36875,12.610833,12.9615,13.917083,16.2255,17.5035,22.742433,25.918083,30.493292,31.373758,32.427083,35.433175,36.313292,41.259358,43.055442,44.941617,47.186425,48.610308,46.583292,45.316467,44.099975,45.307008,41.348533,43.505183,48.405267,45.725808,46.670467,53.437233,58.597842,61.029517,64.151933,67.195308,65.121575,68.389467,70.420342,74.099558,73.918017
Bolivia,"National currency per US$, period average. ",Break in series: 1984; 1985.,0,0,0.0001,0.0002,0.0031,0.44,1.922,2.0549,2.3502,2.6917,3.1727,3.5806,3.9005,4.2651,4.6205,4.8003,5.0746,5.2543,5.5101,5.8124,6.1835,6.6069,7.17,7.659167,7.936267,8.066067,8.011617,7.851242,7.238317,7.02,7.016667,6.936967,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91
Bosnia and Hercegovina,"National currency per US$, period average.",,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.622775,1.433125,1.5048,1.734075,1.759675,1.835783,2.122867,2.185658,2.078167,1.732933,1.575167,1.5727,1.559058,1.429008,1.335175,1.407883,1.47675,1.406933,1.522217,1.473067,1.474175,1.763483,1.768125,1.735367,1.656992,1.747092,1.716967,1.647
