Geography,Definition,Note,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Fiji,"National currency per US$, period average.",,0.817963,0.854627,0.93245,1.01702,1.082597,1.153554,1.132866,1.243858,1.430258,1.483333,1.480908,1.475558,1.502991,1.541775,1.464125,1.406333,1.4033,1.443675,1.986817,1.969625,2.128625,2.276603,2.186785,1.89577,1.733102,1.691046,1.731266,1.610413,1.594035,1.958095,1.918509,1.790883,1.789893,1.841478,1.887346,2.097631,2.094696,2.066875,2.087379,2.160394,2.168805,2.07
Finland,"National currency per US$, period average.","ECU:US$ pre-1999, Euro:US$ post-1999",0.718901,0.894758,1.019146,1.122004,1.267427,1.312016,1.016601,0.866302,0.844685,0.907114,0.785551,0.806121,0.771017,0.852949,0.841416,0.764361,0.787722,0.881605,0.892491,0.937352,1.082227,1.116525,1.058307,0.884269,0.804287,0.803356,0.79639,0.729586,0.679997,0.717737,0.753693,0.71854,0.777846,0.752934,0.752534,0.901205,0.903671,0.885518,0.846389,0.893178,0.876208,0.844932
France,"National currency per US$, period average.",,0.718907,0.894775,1.020408,1.123596,1.265823,1.315789,1.020408,0.869565,0.847458,0.909091,0.787402,0.806121,0.771017,0.852949,0.841416,0.764361,0.787722,0.881605,0.892491,0.937352,1.082227,1.116525,1.058307,0.884269,0.804287,0.803356,0.79639,0.729586,0.679997,0.717737,0.753693,0.71854,0.777846,0.752934,0.752534,0.901205,0.903671,0.885518,0.846389,0.893178,0.876208,0.844932
Gabon,"National currency per US$, period average.  Line rf of IFS.",Break in series: 1994,211.279167,271.7325,328.608333,381.065833,436.9575,449.264167,346.306667,300.5375,297.85,319.009167,272.265833,282.108333,264.694167,283.1625,555.205833,499.15,511.551667,583.670833,589.9525,615.673333,711.831667,732.899167,696.381667,581.059167,528.123333,527.79,522.86,479.264167,448.215833,472.024167,495.310833,471.765833,510.514167,494.045833,494.414167,591.45,593.014167,582.03,555.7,585.959167,575.5875,554.5
Gambia,"National currency per US$, period average. ",,1.720983,1.990169,2.289511,2.638576,3.584059,3.893873,6.924972,7.0744,6.708424,7.583583,7.878992,8.733142,8.895717,9.114418,9.581771,9.544265,9.797174,10.200167,10.6431,11.395092,12.787625,15.687158,19.917825,28.530508,30.030083,28.575433,28.065725,24.873433,22.19235,26.644361,28.011953,29.46152,32.077134,35.957588,41.732963,42.506208,43.372528,46.608908,48.151782,50.062462,51.501661,51.54
Georgia,"National currency per US$, period average. ",,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,1.263333,1.297917,1.38425,2.011,1.976,2.072417,2.194417,2.146,1.916917,1.812833,1.77675,1.670583,1.490333,1.670583,1.782583,1.6865,1.65125,1.6635,1.765667,2.269417,2.36675,2.509667,2.534167,2.818167,3.109167,3.225
Germany,"National currency per US$, period average.","ECU:US$ pre-1999, Euro:US$ post-1999",0.718907,0.894775,1.020408,1.123596,1.265823,1.315789,1.020408,0.869565,0.847458,0.909091,0.787402,0.806121,0.771017,0.852949,0.841416,0.764361,0.787722,0.881605,0.892491,0.937352,1.082227,1.116525,1.058307,0.884269,0.804287,0.803356,0.79639,0.729586,0.679997,0.717737,0.753693,0.71854,0.777846,0.752934,0.752534,0.901205,0.903671,0.885518,0.846389,0.893178,0.876208,0.844932
Ghana,"National currency per US$, period average.  Line rf of IFS.","In July 2007 the Ghanaian cedi was re-denominated, with 10,000 old cedi becoming one new cedi. All local currency data are for new cedi.",0.000964,0.00172,0.002142,0.004536,0.0035,0.005417,0.008917,0.015333,0.020333,0.026917,0.0325,0.036833,0.043667,0.064917,0.0955,0.119833,0.163667,0.204833,0.231083,0.266583,0.544833,0.71625,0.792333,0.86675,0.8995,0.90625,0.916583,0.92735,1.037108,1.387567,1.4202,1.504117,1.81045,1.979583,2.894633,3.711533,3.909367,4.3482,4.584967,5.214758,5.594283,5.802775
Greece,"National currency per US$, period average.","ECU:US$ pre-1999, Euro:US$ post-1999",0.718907,0.894775,1.020408,1.123596,1.265823,1.315789,1.020408,0.869565,0.847458,0.909091,0.787402,0.806121,0.771017,0.852949,0.841416,0.764361,0.787722,0.881605,0.892491,0.937352,1.082227,1.116525,1.058307,0.884269,0.804287,0.803356,0.79639,0.729586,0.679997,0.717737,0.753693,0.71854,0.777846,0.752934,0.752534,0.901205,0.903671,0.885518,0.846389,0.893178,0.876208,0.844932
Grenada,"National currency per US$, period average. ",,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Guatemala,"National currency per US$, period average.  Line rf of IFS.",,1,1,1,1,1,1,1.875,2.5,2.619583,2.816117,4.485758,5.02888,5.17063,5.635363,5.751201,5.810343,6.049513,6.065269,6.394653,7.38561,7.763159,7.858593,7.821645,7.940847,7.946496,7.633944,7.602631,7.673304,7.560028,8.161556,8.057772,7.785418,7.833607,7.856814,7.732234,7.654816,7.599939,7.347941,7.519168,7.696701,7.721653,7.734
Guinea,"National currency per US$, period average. ",,18.968917,20.948,22.366083,23.095,24.09,24.333083,333.4525,428.4025,474.395833,591.645833,660.166667,753.858083,902.001333,955.490333,976.636417,991.4115,1004.016583,1095.3255,1236.83175,1387.401333,1746.869917,1950.558333,1975.84375,1984.93125,2243.93125,3644.333333,5148.75,4197.751917,4601.691,4801.08325,5726.071083,6658.031333,6985.829167,6907.878167,7014.11875,7485.516917,8967.927167,9088.3195,9011.13425,9183.87575,9565.082083,9814
Guinea-Bissau,"National currency per US$, period average. ",,211.27975,271.731417,328.606,381.066,436.957,449.263167,346.305583,300.536417,297.848083,319.008083,272.26475,282.106833,264.691833,283.162583,555.2045,499.14825,511.55225,583.669167,589.951583,615.673667,711.83175,732.89975,696.381333,581.061167,528.122583,527.789833,522.86075,479.262583,448.215,472.024417,495.309667,471.7645,510.51425,494.04675,494.414083,591.4495,593.014083,582.02925,555.700667,585.958583,575.585917,554.1
Guyana,"National currency per US$, period average. ",,2.55,2.8125,3,3,3.831583,4.251833,4.272417,9.755833,10,27.15875,39.533333,111.810667,125.0025,126.730417,138.29025,141.989167,140.375,142.400833,150.519167,177.995,182.43,187.320833,190.665,193.878333,198.3075,199.875,200.188333,202.346667,203.633333,203.95,203.635833,204.0175,204.358333,205.394167,206.449167,206.5,206.5,206.5,207.716667,208.5,208.5,208.5
Haiti,"National currency per US$, period average. ",,5,5,5,5,5,5,5,5,5,5,5,6.034167,9.801667,12.8225,15.04,15.109733,15.70115,16.6545,16.765667,16.937892,21.170667,24.429083,29.250483,42.366758,38.352033,40.44855,40.408517,36.861417,39.107592,41.197608,39.7974,40.522825,41.949725,43.462783,45.215983,50.706425,63.335817,64.769683,68.031758,88.81,93.51,89.21
Honduras,"National currency per US$, period average. ",,2,2,2,2,2,2,2,2,2,2,4.1,5.3,5.5,6.5,8.4,9.5,11.835833,13.153333,13.540833,14.345,15.013625,15.65135,16.612525,17.544575,18.41135,18.997817,19.027233,19.027108,19.030275,19.027283,19.026867,19.048558,19.637925,20.4951,21.134758,22.0988,22.994875,23.6515,24.070058,24.6801,24.75395,24.184775
Hong Kong,"National currency per US$, period average.  Line rf of IFS.",,4.976083,5.589333,6.069917,7.265167,7.818,7.79075,7.803333,7.79825,7.806,7.799917,7.78975,7.771167,7.740583,7.735583,7.728417,7.735833,7.73425,7.74225,7.746583,7.759083,7.792333,7.799833,7.7995,7.7875,7.788667,7.777917,7.768667,7.801917,7.786833,7.75175,7.769167,7.784,7.756417,7.756,7.754083,7.75175,7.76225,7.79325,7.8385,7.835917,7.75725,7.773
Hungary,"National currency per US$, period average. ",,32.5325,34.315,36.631667,42.670833,48.0425,50.120833,45.8325,46.971667,50.414167,59.066667,63.205,74.735,78.988333,91.934167,105.121667,125.716667,152.646667,186.789167,214.401667,237.145833,282.179167,286.4875,257.863333,224.306667,202.745833,199.5825,210.39,183.625833,172.113333,202.341667,207.944167,201.055,225.104167,223.695,232.601667,279.3325,281.523333,274.433333,270.211667,290.6775,307.996667,303.140833
Iceland,National currency per US$ (period average).  Line rf of IFS.,,4.797642,7.233492,12.369133,24.873758,31.736717,41.532525,41.10415,38.677183,43.0352,57.11725,58.363742,59.077617,57.61925,67.6408,70.000842,64.770275,66.690608,70.971483,71.159758,72.405167,78.802008,97.710058,91.587708,76.712317,70.1947,62.851408,69.850708,64.060733,87.953258,123.640133,122.241808,116.037842,125.107333,122.200492,116.685,131.906667,120.828333,106.8225,108.300833,122.605,135.4225,126
India,"National currency per US$, period average.",,7.86295,8.658525,9.455125,10.098892,11.362583,12.36875,12.610833,12.9615,13.917083,16.2255,17.5035,22.742433,25.918083,30.493292,31.373758,32.427083,35.433175,36.313292,41.259358,43.055442,44.941617,47.186425,48.610308,46.583292,45.316467,44.099975,45.307008,41.348533,43.505183,48.405267,45.725808,46.670467,53.437233,58.597842,61.029517,64.151933,67.195308,65.121575,68.389467,70.420342,74.099558,73.918017
Indonesia,"National currency per US$, period average.",,626.995,631.756667,661.421667,909.265833,1025.945,1110.58,1282.56,1643.848333,1685.704167,1770.059167,1842.813333,1950.3175,2029.920833,2087.103333,2160.753333,2248.608333,2342.295833,2909.38,10013.6225,7855.15,8421.775,10260.85,9311.191667,8577.133333,8938.85,9704.741667,9159.316667,9141,9698.9625,10389.9375,9090.433333,8770.433333,9386.629167,10461.24,11865.21167,13389.41333,13308.32667,13380.83333,14236.93917,14147.6725,14582.20333,14308.1425
Iran,"Conversion rate. National currency per US$, period average.","1980-2017: Official exchange rate; 2018: EIU estimate, 2018-2020: Parallel Market Selling Rate, LCU:US$ period average.",70.630833,78.3475,83.6225,86.379167,90.051667,87.01,76.04,69.67,69.58,72.03,66.69,182.1,1469.9,1268.0775,1749.173333,1748.350833,1751.185833,1753.345833,1752.285833,1753.354167,1764.856667,1753.986667,6907.035833,8193.889167,8613.9875,8963.958333,9170.943333,9281.150833,9428.529167,9864.3025,10254.17583,10616.30667,12175.5475,18414.44833,25941.665,29011.49167,30914.85333,33226.29917,71387.3025,124436.1667,201039.5,257330.6
Iraq,"Conversion rate. National currency per US$, period average.",EIU estimates from 1980-2001,0.295,0.295,0.311,0.33,0.35,0.4,0.45,0.5,0.53,0.56,0.75,10,21,74,458,1674,1170,1471,1620,1972,1930,1928.75,2214,1896,1453.25,1468.666667,1467.416667,1254.666667,1193.083333,1170,1170,1170,1166.166667,1166,1166,1167.333333,1182,1184,1182.75,1182,1192.166667,1450
Ireland,"National currency per US$, period average.","ECU:US$ pre-1999, Euro:US$ post-1999",0.718901,0.894758,1.019146,1.122004,1.267427,1.312016,1.016601,0.866302,0.844685,0.907114,0.785551,0.806121,0.771017,0.852949,0.841416,0.764361,0.787722,0.881605,0.892491,0.937352,1.082227,1.116525,1.058307,0.884269,0.804287,0.803356,0.79639,0.729586,0.679997,0.717737,0.753693,0.71854,0.777846,0.752934,0.752534,0.901205,0.903671,0.885518,0.846389,0.893178,0.876208,0.8449
Israel,"National currency per US$, period average.  Line rf of IFS.",Break in series: 1981,0.005117,0.011425,0.024267,0.056225,0.293225,1.178867,1.487833,1.594642,1.598942,1.916417,2.016183,2.279117,2.45905,2.830042,3.011183,3.011267,3.1878,3.449383,3.80015,4.139592,4.0773,4.205625,4.737833,4.548342,4.482017,4.487775,4.45645,4.108058,3.587842,3.932633,3.732975,3.578133,3.855925,3.610758,3.577925,3.8869,3.840567,3.599842,3.594925,3.564517,3.442408,3.230192
Italy,"National currency per US$, period average.","ECU:US$ pre-1999, Euro:US$ post-1999",0.718907,0.894775,1.020408,1.123596,1.265823,1.315789,1.020408,0.869565,0.847458,0.909091,0.787402,0.806121,0.771017,0.852949,0.841416,0.764361,0.787722,0.881605,0.892491,0.937352,1.082227,1.116525,1.058307,0.884269,0.804287,0.803356,0.79639,0.729586,0.679997,0.717737,0.753693,0.71854,0.777846,0.752934,0.752534,0.901205,0.903671,0.885518,0.846389,0.893178,0.876208,0.844932
Jamaica,"National currency per US$, period average.  Line rf of IFS.",,1.7814,1.7814,1.7814,1.9322,3.942808,5.558558,5.477833,5.486667,5.488558,5.744642,7.184025,12.115875,22.96035,24.94855,33.085933,35.142117,37.119558,35.404467,36.55,39.043517,42.9857,45.99625,48.415942,57.740875,61.1972,62.280717,65.743858,69.192158,72.7562,87.894125,87.196142,85.893458,88.749808,100.397883,110.934517,116.969792,125.095042,127.964542,128.871508,133.312117,142.402833,150.3
Japan,"National currency per US$, period average.",,226.578333,220.450833,249.053333,237.445833,237.5875,238.4725,168.498333,144.6225,128.144167,137.995,144.818333,134.508333,126.7475,111.230833,102.194167,94.1075,108.805,121.094167,130.818333,113.713333,107.8225,121.519167,125.266667,115.918333,108.1575,110.1375,116.35,117.764167,103.380833,93.6,87.750833,79.714167,79.810833,97.561667,105.856667,121.018333,108.7575,112.136667,110.431667,109.028333,106.765833,109.7725
Jordan,"National currency per US$, period average.  Line rf of IFS.",,0.297925,0.330433,0.352492,0.363079,0.384465,0.394625,0.349966,0.338459,0.374293,0.574576,0.663712,0.680866,0.679818,0.692851,0.698764,0.700378,0.709,0.709,0.709,0.709,0.709,0.708983,0.709,0.709,0.709,0.709,0.709,0.709,0.709667,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71
Kazakhstan,"National currency per US$, period average.  Line rf of IFS.",,–,–,–,–,–,–,–,–,–,–,–,–,–,5.255,35.641667,60.950833,67.304167,75.4375,78.303333,119.525833,142.133333,146.735833,153.279167,149.575833,136.035,132.8775,126.09,122.554167,120.299167,147.496667,147.355,146.620833,149.1125,152.129167,179.191667,221.728333,342.1325,326.000833,344.705833,382.7475,412.953333,425.9075
Kenya,"National currency per US$, period average.",,7.420417,9.047583,10.9225,13.3115,14.413917,16.432333,16.225833,16.454583,17.747167,20.5725,22.914833,27.507833,32.216917,58.001667,56.0505,51.429833,57.115,58.731833,60.381333,70.323333,76.175583,78.563167,78.72975,75.938333,79.174,75.549583,72.100667,67.31775,69.186,77.352,79.233,88.810833,84.528333,86.122833,87.9225,98.179167,101.50425,103.411,101.301667,101.991333,106.453667,109.635917
Kiribati,"National currency per US$, period average. ",,0.878244,0.870215,0.985864,1.110015,1.139519,1.431895,1.495974,1.42818,1.279908,1.264597,1.281057,1.283756,1.361648,1.47056,1.367751,1.349033,1.277863,1.34738,1.591828,1.54995,1.724827,1.933443,1.840563,1.541914,1.359753,1.309473,1.327973,1.195073,1.192178,1.282189,1.090159,0.969463,0.9658,1.035843,1.109363,1.33109,1.345215,1.304758,1.338411,1.438506,–,–
Kuwait,"National currency per US$, period average.  Line rh of IFS.",,0.270297,0.278785,0.287911,0.291477,0.296062,0.300753,0.290595,0.278663,0.279029,0.293779,0.291934,0.289525,0.293223,0.301839,0.29687,0.298448,0.299409,0.303349,0.304756,0.304415,0.306752,0.306682,0.303914,0.298012,0.2947,0.292,0.290176,0.284214,0.268828,0.287786,0.286607,0.275979,0.279936,0.28359,0.284567,0.300852,0.302137,0.30335,0.301957,0.303611,0.306233,0.3016
Kyrgyz Republic,"National currency per US$, period average. ",,–,–,–,–,–,–,–,–,–,–,–,–,–,6.000525,10.841683,10.821883,12.809558,17.362492,20.837567,39.007733,47.703833,48.377958,46.937067,43.648375,42.649942,41.011825,40.152908,37.316258,36.574592,42.904108,45.964267,46.143892,47.004475,48.438042,53.654058,64.462117,69.914075,68.866675,68.840317,69.78935,77.3461,84.640825
Laos,"National currency per US$, period average. ",,10,21.666667,35,35,35,55,95,187.5,400.375,591.5,707.75,702.083333,716.083333,716.25,717.666667,804.690833,921.021667,1259.979167,3298.333333,7102.025,7887.643333,8954.583333,10056.33333,10569.0375,10585.375,10655.16667,10153.62417,9602.728333,8740.180833,8511.351667,8254.163333,8029.2625,8006.581667,7833.229167,8042.4225,8127.610833,8124.365833,8244.843333,8401.335,8679.409167,9045.788333,9590.7
Latvia,"National currency per US$, period average.","ECU:US$ pre-1999, Euro:US$ post-1999",0.718901,0.894758,1.019146,1.122004,1.267427,1.312016,1.016601,0.866302,0.844685,0.907114,0.785551,0.806121,0.771017,0.852949,0.841416,0.764361,0.787722,0.881605,0.892491,0.937352,1.082227,1.116525,1.058307,0.884269,0.804287,0.803356,0.79639,0.729586,0.679997,0.717737,0.753693,0.71854,0.777846,0.752934,0.752534,0.901205,0.903671,0.885518,0.846389,0.893178,0.876208,0.844932
Lebanon,"National currency per US$, period average.  Line rf of IFS.",Switch to parallel rate for 2019-22,3.435833,4.314167,4.744167,4.528333,6.511667,16.4175,38.370833,224.596667,409.23,496.689167,695.089167,928.2275,1712.790833,1741.363333,1680.073333,1621.413333,1571.444167,1539.45,1516.131667,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1507.5,1629.074258,5601.4144,16163.65103
Lesotho,"National currency per US$, period average. ",,0.778833,0.877579,1.085816,1.1141,1.475278,2.228675,2.285032,2.036033,2.273468,2.622678,2.587321,2.761315,2.852014,3.267743,3.550798,3.627085,4.299349,4.607962,5.528284,6.109484,6.939828,8.609181,10.540747,7.564749,6.459693,6.359328,6.771549,7.045365,8.261223,8.473674,7.321223,7.261133,8.209969,9.655054,10.852657,12.75893,14.709611,13.323803,13.233927,14.448427,16.459106,14.77
Liberia,"National currency per US$, period average. ",,46.4387,46.4387,46.4387,46.4387,46.4387,46.4387,46.4387,46.4387,46.4387,46.4387,46.4387,46.4387,46.4387,46.4387,46.4387,49.838333,46.8375,50.57,41.5075,41.9025,40.9025,48.591908,61.754167,59.378833,54.905833,57.095833,58.013333,61.272225,63.2075,68.286667,71.403333,72.226667,73.514775,77.52,83.8925,86.188367,94.427242,112.706667,144.055575,186.429742,191.517967,166.3
Libya,"National currency per US$, period average. ",,0.296051,0.296052,0.296053,0.296053,0.296053,0.296053,0.315396,0.297029,0.285766,0.299602,0.283177,0.280728,0.281553,0.30437,0.348368,0.418145,0.4368,0.460866,0.467574,0.463811,0.51219,0.605064,1.270679,1.292944,1.304966,1.308385,1.313572,1.262645,1.223562,1.253535,1.266789,1.224152,1.26166,1.271692,1.272402,1.38121,1.390369,1.39382,1.364967,1.398263,1.398,4.56
Lithuania,"National currency per US$, period average. ",,0.718907,0.894775,1.020408,1.123596,1.265823,1.315789,1.020408,0.869565,0.847458,0.909091,0.787402,0.806121,0.771017,0.852949,0.841416,0.764361,0.787722,0.881605,0.892491,0.937352,1.082227,1.116525,1.058307,0.884269,0.804287,0.803356,0.79639,0.729586,0.679997,0.717737,0.753693,0.71854,0.777846,0.752934,0.752534,0.901205,0.903671,0.885518,0.846389,0.893178,0.876208,0.8421
Luxembourg,"National currency per US$, period average.","ECU:US$ pre-1999, Euro:US$ post-1999",0.718907,0.894775,1.020408,1.123596,1.265823,1.315789,1.020408,0.869565,0.847458,0.909091,0.787402,0.806121,0.771017,0.852949,0.841416,0.764361,0.787722,0.881605,0.892491,0.937352,1.082227,1.116525,1.058307,0.884269,0.804287,0.803356,0.79639,0.729586,0.679997,0.717737,0.753693,0.71854,0.777846,0.752934,0.752534,0.901205,0.903671,0.885518,0.846389,0.893178,0.876208,0.844932
Macau,,,–,–,–,–,8.034886,7.998842,8.013158,8.0095,8.040592,8.033883,8.023492,8.00425,7.972342,7.96755,7.960283,7.967758,7.9664,7.975033,7.978767,7.99185,8.0259,8.0335,8.033433,8.021242,8.022175,8.011058,8.001408,8.035858,8.020108,7.984283,8.002217,8.018208,7.989867,7.98925,7.987133,7.984958,7.995067,8.026017,8.072508,8.070475,7.989042,8
Madagascar,"National currency per US$, period average. ",,42.255833,54.345833,69.945833,86.09,115.328333,132.495833,135.269167,213.841667,281.421667,320.688333,298.829167,367.071667,372.793333,382.755833,613.466667,853.126667,812.250833,1018.1775,1088.280833,1256.756667,1353.4975,1317.6975,1366.39,1238.3275,1868.858333,2003.025833,2142.301667,1873.876667,1708.370833,1956.205833,2089.95,2025.1175,2194.966667,2206.914167,2414.811667,2933.508333,3176.539167,3116.11,3334.7525,3618.320833,3787.756667,3841
Malawi,"National currency per US$, period average.  Line rf of IFS.",,0.8121,0.895292,1.055517,1.174783,1.413375,1.719092,1.861075,2.208742,2.561308,2.759533,2.728875,2.803317,3.603283,4.402792,8.736417,15.283742,15.308467,16.444175,31.072683,44.088142,59.543808,72.197333,76.686608,97.432475,108.897508,118.42,136.0125,139.9575,140.521667,141.168333,150.485833,156.515833,249.106667,364.405833,424.896667,499.605833,718.005,730.2725,732.333333,745.540675,749.527483,804.1
Malaysia,"National currency per US$, period average.  Line rf of IFS.",,2.176883,2.304125,2.335392,2.32125,2.343642,2.483042,2.581442,2.519638,2.618783,2.708842,2.704875,2.750067,2.547383,2.574095,2.624257,2.504404,2.515943,2.81315,3.922875,3.8,3.8,3.8,3.8,3.8,3.8,3.787126,3.668173,3.437511,3.333288,3.524609,3.221088,3.060003,3.088801,3.150909,3.272864,3.9055,4.148308,4.300442,4.035192,4.142475,4.203492,4.143292
Maldives,"National currency per US$, period average. ",,7.55,7.55,7.173667,7.05,7.05,7.098083,7.150733,9.223,8.784583,9.040833,9.551742,10.252667,10.569167,10.956992,11.58575,11.77,11.77,11.77,11.77,11.77,11.77,12.242083,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,14.602,15.364825,15.3667,15.380383,15.366333,15.368392,15.386958,15.390825,15.382042,15.381283,15.372683
Mali,"National currency per US$, period average. ",,211.279167,271.7325,328.608333,381.065833,436.9575,449.264167,346.306667,300.5375,297.85,319.009167,272.265833,282.108333,264.694167,283.1625,555.205833,499.15,511.551667,583.670833,589.9525,615.673333,711.831667,732.899167,696.381667,581.059167,528.123333,527.79,522.86,479.264167,448.215833,472.024167,495.310833,471.765833,510.514167,494.045833,494.414167,591.45,593.014167,582.03,555.7,585.959167,575.5875,554.5
Malta,"National currency per US$, period average.","ECU:US$ pre-1999, Euro:US$ post-1999",0.718907,0.894775,1.020408,1.123596,1.265823,1.315789,1.020408,0.869565,0.847458,0.909091,0.787402,0.806121,0.771017,0.852949,0.841416,0.764361,0.787722,0.881605,0.892491,0.937352,1.082227,1.116525,1.058307,0.884269,0.804287,0.803356,0.79639,0.729586,0.679997,0.717737,0.753693,0.71854,0.777846,0.752934,0.752534,0.901205,0.903671,0.885518,0.846389,0.893178,0.876208,0.844932
Marshall Islands,"National currency per US$, period average. ",,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,–,–
Mauritania,"National currency per US$, period average. ",Re-denominated currency.,4.591417,4.829583,5.176917,5.481167,6.380333,7.7085,7.4375,7.387833,7.526083,8.305083,8.060917,8.194583,8.702667,12.080583,12.3575,12.976833,13.722167,15.185333,18.847583,20.951417,23.892333,25.562917,27.173917,26.303,26.4108,26.552833,26.86,25.858667,23.820333,26.236583,27.589417,28.111833,29.662,30.068167,30.2725,32.467167,35.237083,35.7945,35.6775,36.690833,37.189167,36.2
Mauritius,"National currency per US$, period average.  Line rf of IFS.",,7.684292,8.936542,10.87255,11.7062,13.800333,15.442483,13.466358,12.878217,13.437725,15.249767,14.863467,15.652308,15.563208,17.648025,17.960367,17.386317,17.948067,21.057258,23.99265,25.185808,26.249558,29.129258,29.962,27.901475,27.498517,29.496233,31.708067,31.313658,28.452842,31.9598,30.7844,28.70595,30.049975,30.701358,30.621617,35.0567,35.541883,34.481408,33.93445,35.473517,39.346933,41.692133
Mexico,"National currency per US$, period average.",,0.022942,0.024483,0.054317,0.120008,0.167767,0.256442,0.607933,1.369383,2.272517,2.461733,2.8126,3.017892,3.094458,3.115233,3.375117,6.419008,7.599442,7.918458,9.135658,9.560533,9.455567,9.342458,9.655958,10.789017,11.285967,10.897892,10.899242,10.928192,11.129717,13.513475,12.636008,12.423325,13.169458,12.771992,13.29245,15.848267,18.664058,18.926517,19.244342,19.263633,21.485608,20.27
"Micronesia, Federated States of","National currency per US$, period average. ",,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,–,–
Moldova,"National currency per US$, period average.  Line rf of IFS.",Annual series shows last quarter average exchange rate.,–,–,–,–,–,–,–,–,–,–,–,0.0017,0.4144,3.6,4.160975,4.4958,4.604483,4.623583,5.3707,10.515808,12.434217,12.865142,13.5705,13.944883,12.329717,12.599625,13.131058,12.139942,10.39205,11.109583,12.369275,11.738617,12.111425,12.58675,14.035625,18.818475,19.923833,18.499042,16.802058,17.57345,17.321842,17.66
Mongolia,"National currency per US$, period average. ",,–,–,–,–,–,–,–,–,–,–,5.595,8.011667,35.833333,295.01,412.7225,448.6125,548.403333,789.9925,840.828333,1021.8675,1076.666667,1097.6975,1110.31,1146.5425,1185.2975,1205.246667,1179.699167,1170.400833,1165.804167,1437.795,1357.064167,1265.515833,1357.58,1523.9275,1817.939167,1970.309167,2140.291667,2439.7775,2472.484167,2663.541667,2813.29,2849.3
Montenegro,"National currency per US$, period average.  Line rf of IFS.",,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,0.938583,1.085175,1.1173,1.061625,0.885842,0.805108,0.8046,0.797083,0.730633,0.683292,0.719592,0.755092,0.7192,0.778283,0.753167,0.753725,0.901658,0.904042,0.887292,0.847167,0.8933,0.877458,0.84
Montserrat,"National currency per US$, period average. ",,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Morocco,"National currency per US$, period average.  Line rf of IFS.",Break in series: from 1999 onwards Bank Al-Maghrib.,3.9366,5.1723,6.023,7.1113,8.8105,10.0625,9.1044,8.3592,8.2092,8.4882,8.2423,8.7066,8.5379,9.2987,9.2027,8.5402,8.7159,9.5271,9.6044,9.803845,10.625407,11.302523,11.020195,9.574342,8.869299,8.865007,8.795579,8.19232,7.750543,8.088548,8.420918,8.089838,8.628416,8.405478,8.404944,9.76433,9.808044,9.69136,9.386114,9.616823,9.496845,8.988593
Mozambique,"National currency per US$, period average. ",World Bank data prior to 1986,0.0324,0.0353,0.0378,0.0402,0.0424,0.0432,0.0404,0.3,0.5,0.7,0.9,1.4,2.5,3.9,6,9,11.3,11.5,11.9,12.8,15.2,20.7,23.7,23.8,22.6,23.1,25.4,25.8,24.3,27.5,34,29.1,28.4,30.1,31.4,40,63.1,63.6,60.3,62.5,69.5,65.458333
Myanmar,"National currency per US$, period average. ",Fixed exchange rate until March 31st 2012.,6.538142,7.220336,7.709065,7.960396,8.303268,8.47485,7.330375,6.65345,6.394542,6.7049,6.338558,6.2837,6.104533,6.156967,5.974913,5.667042,5.917567,6.241833,6.343158,6.285792,6.516725,6.748908,6.642083,6.138925,5.805833,5.818167,5.842942,5.616883,5.44145,5.576367,5.634883,5.444108,640.653417,933.570458,984.345748,1162.615328,1234.869517,1360.358708,1429.807975,1518.255117,1381.619167,1615.2
