Geography,Definition,Note,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgium,The consumer price index rebased to 2010=100 by the EIU,,43,46.3,50.3,54.2,57.6,60.4,61.2,62.1,62.9,64.8,67,69.198,70.77,72.506,74.249,75.193,76.542,77.688,78.392,79.279,81.402,83.392,84.685,85.961,87.562,89.762,91.856,93.527,97.728,97.722,100,103.346,106.054,107.377,107.911,108.583,110.506,112.96,115.57,117.016,117.518
Belize,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,54.763,56.624,60.181,60.647,61.851,63.794,65.135,67.16,67.054,68.641,69.646,71.47,73.506,78.239,79.032,78.398,77.419,77.895,78.794,80.539,82.655,85.167,88.287,92.015,94.183,100.185,99.101,100,101.63,102.891,103.437,104.689,103.763,104.46,105.65,105.94,106.134,106.258
Benin,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,62.997,65.533,65.822,91.183,104.371,109.5,67.604,71.491,71.728,74.74,77.715,79.604,80.818,81.52,85.901,89.131,90.281,97.481,97.901,100,102.729,109.655,110.732,109.509,109.81,108.898,110.805,111.763,110.741,114.072
Bermuda,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,72.571,74.335,76.369,78.553,80.385,82.973,85.874,88.563,88.573,91.531,95.904,97.634,100,102.696,105.187,107.048,109.187,110.302,110.964,90.893,92.114,92.983,93
Bhutan,The consumer price index rebased to 2010=100 by the EIU,,13.942,15.327,16.845,19.881,21.285,21.672,23.829,25.354,27.904,30.354,33.396,37.498,43.49,48.357,51.746,56.653,61.639,65.654,72.598,77.519,62.813,64.956,66.554,68.266,71.071,74.846,78.588,82.64,89.522,93.426,100,108.849,120.735,129.188,139.875,146.231,150.942,158.42,162.734,167.172,176.583
Bolivia,The consumer price index rebased to 2010=100 by the EIU,,0,0,0,0.001,0.003,0.038,4.457,16.774,19.219,22.295,25.677,30.074,36.522,39.636,42.757,47.115,52.971,55.466,59.722,61.013,63.82,64.838,65.437,67.621,70.621,74.433,76.173,82.803,94.401,97.559,100,109.9,114.8,121.4,128.4,133.7,138.5,142.4,145.6,148.3,149.7
Bosnia and Hercegovina,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,63.926,72.428,74.486,78.19,80.701,80.954,81.397,81.626,84.55,89.654,91.06,98.099,97.882,100,104.114,106.475,106.475,105.39,104.149,102.517,103.342,104.817,105.39,104.279
Botswana,The consumer price index rebased to 2010=100 by the EIU,,5.979,6.956,7.732,8.544,9.274,10.025,11.026,12.111,13.12,14.638,16.313,18.228,21.172,24.206,26.758,29.572,32.552,35.391,37.748,40.559,44.067,46.935,50.689,55.342,59.195,64.328,71.726,76.809,86.509,93.501,100,108.481,116.654,123.511,128.964,132.927,136.669,141.138,145.704,149.771,152.604
Brazil,The consumer price index rebased to 2010=100 by the EIU,,0,0,0,0,0,0,0,0,0,0,0.001,0.005,0.05,1.014,22.072,36.64,42.414,45.352,46.801,49.075,52.532,56.125,60.868,69.824,74.431,79.544,82.871,85.889,90.766,95.203,100,106.636,112.399,119.372,126.927,138.389,150.483,155.669,161.374,167.398,172.774
Brunei,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,70.767,72.432,73.722,–,–,76.517,–,–,–,83.839,85.904,91.029,92.846,94.435,93.999,–,95.087,95.653,93.439,93.688,94.475,95.662,95.809,96.734,98.752,99.773,100,100.067,100.179,100.562,100.36,99.895,99.617,98.361,99.265,98.981,100.899
Bulgaria,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,0.03,0.155,0.296,0.512,1.004,1.627,3.607,41.778,49.579,50.855,56.101,60.231,63.731,65.227,69.237,72.726,78.007,84.561,95.003,97.617,100,104.22,107.299,108.254,106.719,106.607,105.756,107.936,110.974,114.418,116.333
Burkina Faso,The consumer price index rebased to 2010=100 by the EIU,,52.073,56.008,62.762,67.88,71.17,76.085,74.098,72.11,75.179,74.817,74.44,76.049,74.535,74.948,93.818,100.816,106.963,73.538,77.158,76.328,76.195,79.779,81.633,83.31,82.971,88.285,90.353,90.139,99.777,100.615,100,102.764,106.696,107.257,107.008,107.998,107.73,110.859,112.973,109.388,111.448
Burundi,The consumer price index rebased to 2010=100 by the EIU,,5.057,5.673,6.005,6.495,7.425,7.707,7.836,8.394,8.77,9.793,10.479,11.422,11.63,12.756,14.65,17.472,22.091,28.964,32.585,33.708,41.943,45.842,45.216,50.03,54.121,61.293,62.976,68.274,84.937,93.903,100,109.592,129.495,139.775,145.932,154.024,162.584,188.683,183.372,182.112,195.445
Cabo Verde,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,29.562,32.887,34.661,38.43,39.908,41.534,43.426,48.052,52.642,54.282,57.424,59.407,64.368,68.207,74.043,77.296,80.663,78.665,81.3,82.832,83.817,82.232,82.576,87.01,90.848,97.002,97.964,100,104.474,107.128,108.742,108.482,108.625,107.095,107.935,109.291,110.502,111.171
Cambodia,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,44.843,44.531,47.715,51.513,59.14,61.511,61.024,60.629,60.757,61.329,63.978,68.211,72.174,78.46,97.366,96.157,100,105.479,108.572,111.767,116.076,117.493,121.044,124.569,127.633,130.113,133.938
Cameroon,The consumer price index rebased to 2010=100 by the EIU,,21.55,23.861,27.025,31.519,35.104,38.091,41.05,46.445,47.226,46.439,46.95,46.978,46.971,45.508,61.42,66.991,69.619,72.951,75.265,76.673,77.614,81.045,83.342,83.861,84.057,85.75,90.138,90.968,95.824,98.741,100,102.94,105.763,107.941,109.92,112.873,113.845,114.577,115.808,118.649,121.541
