Geography,Definition,Note,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
France,The consumer price index rebased to 2010=100 by the EIU,,37.791,42.832,47.964,52.487,56.518,59.812,61.314,63.34,65.063,67.332,69.613,71.985,73.751,75.389,76.659,78.03,79.666,80.683,81.224,81.695,83.168,84.675,86.297,88.174,90.239,91.929,93.679,95.185,98.193,98.292,100,102.29,104.555,105.589,106.234,106.328,106.653,107.896,110.158,111.587,112.173
Gabon,The consumer price index rebased to 2010=100 by the EIU,,36.912,40.126,46.821,51.689,54.7,58.714,62.465,61.824,55.785,58.85,64.874,57.432,51.951,52.228,71.091,77.949,78.487,81.605,82.788,81.184,81.594,83.338,83.369,85.233,85.58,88.754,87.503,91.905,96.743,98.567,100,101.263,103.949,104.475,109.375,109.004,111.301,114.252,119.678,122.628,124.071
Gambia,The consumer price index rebased to 2010=100 by the EIU,Not Seasonally Adjusted,6.829,7.235,8.02,8.873,10.834,12.819,20.069,24.791,27.69,29.981,33.629,36.535,40.001,42.587,43.315,46.339,46.848,48.151,48.688,50.544,50.971,53.261,57.846,67.699,77.317,81.058,82.725,87.167,91.04,95.193,100,104.796,109.254,115.481,122.35,130.68,140.126,151.384,161.257,172.73,182.976
Georgia,The consumer price index rebased to 2010=100 by the EIU,Not seasonally adjusted.,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,38.403,41.153,42.62,50.779,52.804,55.296,58.4,61.2,64.6,69.964,76.39,83.44,91.783,93.358,100,108.551,107.534,106.984,110.268,114.685,117.118,124.177,127.444,133.611,140.578
Germany,The consumer price index rebased to 2010=100 by the EIU,Data prior to 1991 are for west Germany (incl west Berlin) only. ,61.176,65.063,68.472,70.687,72.478,73.843,73.78,73.897,74.964,77.053,79.087,82.405,86.601,90.434,92.939,80.822,81.74,82.981,83.485,84.015,85.212,86.831,87.973,88.918,90.474,92.219,93.901,96.024,98.66,98.903,100,102.483,104.696,106.378,107.178,107.907,108.33,110.174,112.314,113.844,114.266
Ghana,The consumer price index rebased to 2010=100 by the EIU,,0.053,0.114,0.139,0.31,0.433,0.477,0.595,0.831,1.092,1.367,1.877,2.215,2.433,3.04,3.796,6.054,8.872,11.23,13.06,13.701,19.207,27.178,29.723,38.577,45.535,52.567,58.701,65.004,75.728,90.307,100,108.724,118.353,132.114,152.582,178.762,209.973,235.956,258.786,278.551,306.254
Greece,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,57.259,61.764,65.123,68.064,69.526,71.545,74.153,77.06,79.716,82.118,84.978,87.793,90.413,94.24,95.508,100,103.121,104.195,103.312,101.877,100.76,100.774,101.922,102.712,103.243,101.939
Grenada,The consumer price index rebased to 2010=100 by the EIU,,36.189,42.988,46.346,49.171,51.954,53.253,53.55,53.083,55.206,58.294,59.882,61.466,63.788,65.58,67.287,69.324,70.733,71.613,72.6,73.019,74.612,75.848,76.658,78.309,80.121,82.906,86.431,89.766,96.977,96.678,100,103.033,105.517,105.471,104.433,103.895,105.61,106.569,107.426,108.069,107.268
Guatemala,The consumer price index rebased to 2010=100 by the EIU,non seasonally adjusted,4.839,5.392,5.409,5.654,5.847,6.939,9.502,10.673,11.829,13.176,18.608,24.78,26.007,29.482,33.17,35.96,39.936,43.624,46.51,48.933,51.858,55.636,60.162,63.533,68.348,74.572,79.465,84.887,94.525,96.283,100,106.215,110.233,115.021,118.953,121.794,127.212,132.841,137.825,142.924,147.518
Guinea,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,66.303,68.236,69.558,73.117,76.473,81.659,86.032,88.574,100,112.9,32.15,42.235,56.888,67.227,82.733,86.608,100,121.35,139.825,156.448,167.513,185.639,200.808,218.709,240.202,262.951,290.827
Guinea-Bissau,The consumer price index rebased to 2014=100 by the EIU,,–,–,–,–,–,–,1.525,2.937,4.708,8.511,11.32,17.84,30.253,44.807,51.607,75.019,106.933,–,–,–,–,–,86.901,83.818,84.539,87.382,89.102,93.192,100.597,97.799,100,105.061,107.28,108.056,106.942,108.528,110.15,111.228,111.673,111.941,113.625
Guyana,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,37.986,42.625,45.649,47.272,49.44,53.167,56.436,57.919,61.012,64.661,67.68,72.368,77.2,86.619,93.637,96.401,100,104.978,107.489,109.532,110.466,109.36,110.274,112.374,113.816,116.191,117.385
Haiti,The consumer price index rebased to 2010=100 by the EIU,,3.217,3.566,3.828,4.22,4.491,4.969,5.132,4.544,4.731,5.058,6.135,7.081,8.451,10.358,14.765,18.525,22.167,27.215,28.649,29.509,32.264,36.56,39.131,50.362,60.954,69.471,77.353,82.425,95.021,95.395,100,106.333,111.669,116.99,121.012,129.158,144.015,159.396,179.291,212.825,261.342
Honduras,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,12.079,13.142,14.554,17.717,22.936,28.4,34.137,38.803,43.329,48.115,52.766,56.83,61.19,66.155,71.982,75.997,81.268,90.536,95.513,100,106.762,112.31,118.107,125.346,129.304,132.828,138.053,144.055,150.344,155.559
Hong Kong,The consumer price index rebased to 2010=100 by the EIU,,26.447,28.937,32.124,35.312,38.331,39.694,41.113,43.444,46.846,51.633,56.961,63.336,69.408,75.513,82.169,89.592,95.258,100.8,103.649,99.538,95.832,94.289,91.417,89.052,88.725,89.536,91.327,93.185,97.195,97.759,100,105.305,109.574,114.328,119.385,122.956,125.918,127.799,130.874,134.647,134.985
Hungary,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,15.373,18.826,22.379,28.713,35.452,41.941,47.877,52.664,57.83,63.129,66.465,69.566,74.26,76.905,79.925,86.294,91.513,95.365,100,103.924,109.815,111.704,111.455,111.374,111.814,114.441,117.685,121.626,125.672
Iceland,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,29.657,34.585,39.95,42.67,44.36,46.171,46.887,47.663,48.736,49.612,50.456,52.081,54.747,58.249,61.264,62.528,64.498,67.078,71.555,75.181,84.709,94.876,100,103.997,109.391,113.627,115.953,117.847,119.846,121.954,125.229,128.996,132.675
India,The consumer price index rebased to 2010=100 by the EIU,,10.237,11.573,12.507,13.982,15.143,15.974,17.366,18.899,20.492,21.362,23.27,26.497,29.623,31.507,34.718,38.266,41.708,44.702,50.601,52.983,55.119,57.202,60.199,62.802,65.217,67.672,71.744,76.062,82.579,90.624,100,108.321,118.476,130.445,138.815,145.637,152.854,157.951,164.143,170.275,181.554
Indonesia,The consumer price index rebased to 2010=100 by the EIU,,5.555,6.236,6.825,7.633,8.428,8.824,9.337,10.203,11.026,11.735,12.65,13.847,14.896,16.333,17.727,19.396,20.937,22.24,35.262,42.441,44.012,49.059,54.899,58.631,62.181,68.685,77.68,82.593,90.744,95.106,100,105.348,109.547,116.57,124.031,131.916,136.57,141.769,146.436,150.563,153.624
Iran,The consumer price index rebased to 2010=100 by the EIU,,0.6,0.7,0.8,1,1.1,1.2,1.4,1.8,2.3,2.8,3.037,3.509,4.451,5.368,7.07,10.526,13.668,15.947,18.827,22.65,25.844,28.83,32.914,38.361,44.148,49.411,54.36,63.786,79.995,90.835,100,120.869,160.749,219.56,255.983,287.955,308.824,333.674,393.82,551.218,719.482
Iraq,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,0,0,0.1,0.1,0.4,2.2,10.6,9,11.1,12.7,14.3,15,17.5,20.9,27.9,35.4,48.489,74.3,97.2,99.8,97.628,100,105.604,112.034,114.14,116.692,114.006,114.464,114.693,115.096,114.867,115.526
Ireland,The consumer price index rebased to 2010=100 by the EIU,Seasonally Adjusted; pre-1995 estimation using local source inflation,29.103,35.035,41.011,45.325,49.187,51.866,53.875,55.597,56.754,59.059,61.025,63.025,64.93,65.826,67.357,69.096,70.314,71.306,73.071,74.202,78.368,82.143,85.944,88.962,90.928,93.12,96.79,101.548,105.645,100.931,100,102.575,104.305,104.827,105.027,104.714,104.732,105.08,105.593,106.593,106.228
Israel,The consumer price index rebased to 2010=100 by the EIU,,0.05,0.108,0.238,0.584,2.766,11.189,16.577,19.868,23.093,27.769,32.538,38.722,43.348,48.092,54.028,59.454,66.158,72.113,76.033,79.982,80.899,81.777,86.445,87.009,86.642,87.807,89.661,90.118,94.257,97.393,100,103.449,105.214,106.809,107.328,106.648,106.065,106.325,107.194,108.099,107.463
Italy,The consumer price index rebased to 2010=100 by the EIU,Seasonally adjusted,19.065,23.655,28.326,33.179,37.193,40.946,43.517,45.673,48.156,51.351,54.894,58.567,61.736,64.604,67.375,71.121,74.009,75.369,76.909,78.188,80.196,82.07,84.195,86.563,88.545,90.481,92.498,94.38,97.677,98.415,100,102.954,106.358,107.682,107.943,108.051,108.015,109.438,110.807,111.5,111.347
Jamaica,The consumer price index rebased to 2010=100 by the EIU,,0.911,0.979,1.129,1.251,1.619,2.013,2.312,2.462,2.652,3.06,3.713,5.645,9.984,12.187,16.472,19.736,24.973,27.38,29.733,31.502,34.032,36.344,38.942,42.886,48.681,56.012,60.773,66.417,81.026,88.792,100,107.535,114.948,125.694,136.113,141.118,144.41,150.762,156.393,162.5,171.763
Japan,The consumer price index rebased to 2010=100 by the EIU,,77.149,80.954,83.178,84.742,86.65,88.416,88.952,89.067,89.647,91.703,94.516,97.609,99.297,100.545,101.239,101.151,101.292,103.015,103.683,103.322,102.61,101.898,100.984,100.721,100.712,100.422,100.677,100.721,102.109,100.747,100,99.728,99.684,100.018,102.777,103.595,103.463,103.964,104.992,105.484,105.458
Jordan,The consumer price index rebased to 2010=100 by the EIU,,38.794,43.493,46.294,47.203,48.997,50.47,50.462,50.333,51.918,67.481,78.425,84.822,88.21,56.063,57.353,58.694,62.531,64.41,66.401,66.798,67.246,68.437,69.692,71.326,73.212,75.764,80.491,84.309,96.089,95.376,100,104.16,108.863,114.119,117.424,116.394,115.489,119.33,124.655,125.601,126.02
Kazakhstan,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,0.2,0.5,7.375,20.343,28.307,33.276,35.682,38.66,43.854,47.645,50.485,53.705,57.462,61.721,67.036,74.273,87.015,93.369,100,108.38,113.937,120.568,128.497,137.171,157.15,168.871,179.017,188.47,201.212
Kenya,The consumer price index rebased to 2010=100 by the EIU,,3.63,4.051,4.888,5.445,5.627,6.167,6.819,7.408,8.327,9.443,10.921,12.994,16.545,24.163,31.095,31.59,34.392,38.276,40.357,42.697,46.956,49.643,50.62,55.569,62.153,68.283,72.4,75.5,86.9,96.1,100,114,124.7,131.8,140.9,150.185,159.685,172.39,180.488,191.076,201.298
Kiribati,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,262.512,273.083,284.375,–,81.605,84.568,86.089,86.372,91.561,94.466,96.216,95.299,94.967,80.173,83.364,94.756,103.075,100,101.497,98.406,96.942,98.981,99.547,101.456,101.817,101.817,100.535,–
Kuwait,The consumer price index rebased to 2010=100 by the EIU,,38.6,41.5,44.7,46.8,47.4,48.1,48.5,48.8,49.6,51.2,52.2,61,61,61.3,62.8,64.5,66.8,67.2,67.3,69.3,70.6,71.8,72.6,72.9,73.8,76.8,79.2,83.5,92.3,96,100,104.8,108.3,111.3,114.5,118.2,121.7,123.6,124.3,125.7,128.3
Kyrgyz Republic,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,16.742,22.091,27.268,30.12,40.933,48.992,52.382,53.5,55.092,57.346,59.849,63.166,69.639,86.705,92.629,100,116.647,119.878,127.813,137.443,146.374,146.953,151.611,153.945,155.7,165.54
Laos,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,1.677,2.706,3.67,4.163,4.574,4.861,5.191,6.208,7.016,8.946,17.086,38.489,48.177,51.901,57.42,66.314,73.254,78.505,83.646,87.544,94.224,94.355,100,107.57,112.147,119.293,124.22,125.806,127.816,128.872,131.499,135.869,142.8
Latvia,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,0.645,1.12,11.831,24.756,33.611,42.001,49.619,53.832,56.323,57.659,59.183,60.644,61.827,63.646,67.581,72.143,76.876,84.62,97.661,101.102,100,104.365,106.74,106.713,107.377,107.547,107.708,110.854,113.669,116.868,117.119
Lebanon,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,16.7,17,17.4,38.1,49.1,55,62.1,67.7,71.2,73.9,74.3,73.6,74.6,77.7,78.4,80.466,79.507,81.425,86.072,95.034,96.189,100,104.986,111.887,118.106,119.439,114.947,114.019,119.133,126.35,130.003,240.349
Lesotho,The consumer price index rebased to 2010=100 by the EIU,,10.775,12.125,13.6,15.925,17.7,20.075,23.675,26.45,29.5,33.825,37.775,44.45,52.1,58.925,63.8,69.7,76.2,80,87.667,94.2,100,90.35,61.301,65.365,68.649,71.009,75.321,81.356,90.074,96.654,100,105.037,111.393,116.812,123.085,127.047,135.427,141.451,148.172,155.858,163.617
Liberia,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,41.028,46.838,51.678,55.723,61.649,66.293,73.846,86.762,93.206,100,108.488,115.901,124.683,136.978,147.591,160.629,180.579,223.131,283.304,331.337
Libya,The consumer price index rebased to 2010=100 by the EIU,,22.364,24.466,23.482,23.348,22.52,26.411,23.638,25.181,22.118,23.817,16.324,19.967,24.777,36.437,54.655,69.23,96.194,99.657,103.344,106.031,101.153,90.836,84.023,82.931,92.864,95.552,95.552,95.552,97.858,100,100,100,100,100,138.138,151.73,191.021,245.367,264.389,258.672,262.415
Lithuania,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,49.966,62.334,68.764,72.456,73.502,74.306,75.458,75.711,74.896,75.761,77.785,80.707,85.403,94.875,98.823,100,104.124,107.419,108.669,108.932,108.195,108.929,112.979,115.839,118.436,119.694
Luxembourg,The consumer price index rebased to 2010=100 by the EIU,,40.1,43.3,47.3,51.4,54.7,57,57.2,57.1,57.9,59.9,61.8,63.8,65.8,68.1,69.6,70.945,71.77,72.761,73.466,74.216,77.023,78.875,80.496,82.531,85.209,88.413,91.032,93.449,97.273,97.281,100,103.729,106.723,108.536,109.29,109.357,109.404,111.716,113.968,115.851,115.857
Macau,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,54.376,59.146,63.86,69.97,75.368,80.422,85.45,92.763,97.237,100.631,84.55,81.841,80.523,78.925,76.843,75.643,76.385,79.742,83.849,88.521,96.143,97.267,100,105.806,112.268,118.444,125.607,131.336,134.447,136.098,140.187,144.045,145.214
Madagascar,The consumer price index rebased to 2010=100 by the EIU,,1.651,2.155,2.84,3.389,3.723,4.116,4.712,5.419,6.874,7.494,8.377,9.097,10.417,11.459,15.922,23.737,28.426,29.701,31.545,34.109,37.749,40.737,47.459,46.65,53.16,62.922,69.696,76.867,84.013,91.535,100,109.483,115.738,122.482,129.929,139.549,147.972,160.711,174.523,184.315,192.059
Malawi,The consumer price index rebased to 2010=100 by the EIU,,0.472,0.527,0.579,0.657,0.789,0.872,0.994,1.244,1.666,1.874,2.095,2.36,2.92,3.585,4.828,8.85,12.178,13.291,17.244,24.971,32.357,39.702,45.556,49.919,55.625,64.197,73.168,78.986,85.868,93.1,100,107.623,130.516,166.125,205.649,250.619,305.031,340.242,382.501,418.344,454.429
Malaysia,The consumer price index rebased to 2010=100 by the EIU,,41.343,45.259,47.825,49.567,51.5,51.691,52.041,52.2,53.533,55.049,56.757,59.198,62.023,64.306,66.572,68.889,71.305,73.179,77.054,79.162,80.42,81.545,83.028,83.878,85.102,87.677,90.852,92.693,97.725,98.3,100,103.174,104.891,107.099,110.465,112.79,115.131,119.505,120.663,121.463,120.08
Maldives,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,24.801,27.215,29.854,31.783,34.063,35.303,40.498,47.326,56.851,58.776,62.002,65.872,70.86,69.864,71.93,71.083,71.562,74.551,73.612,72.371,73.313,75.321,80.438,90.122,94.205,100,111.275,123.384,128.081,130.794,132.041,132.707,136.446,136.263,136.56,134.689
Mali,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,72.87,76.146,76.088,76.549,77.928,73.063,72.87,89.989,100.634,108.754,74.844,77.889,76.982,76.384,80.344,84.386,83.29,80.689,85.845,87.177,88.41,96.538,98.822,100,102.963,108.419,107.784,108.745,110.304,108.328,110.911,113.013,109.597,110.113
Malta,The consumer price index rebased to 2010=100 by the EIU,,46.173,51.487,54.483,54.003,53.764,53.637,54.725,54.961,55.497,55.947,57.616,59.09,60.049,62.536,65.12,67.424,69.397,72.117,74.765,76.48,78.798,80.781,82.903,84.51,86.808,89.004,91.291,91.942,96.243,98.009,100,102.516,105.821,106.871,107.699,108.958,109.935,111.323,113.256,114.975,115.887
Marshall Islands,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,40.522,40.306,41.314,42.215,42.503,44.196,48.734,51.1,54.1,58.5,64.2,67.3,68.7,69.9,71,72.3,73.5,74.8,76.3,78.9,83.1,85.3,97.8,98.3,100,105.4,109.9,112,113.2,110.6,109,109.1,109.9,–,–
Mauritania,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,21.5,22.4,24.3,24.6,27.8,29.6,31.3,34.4,37.7,39.2,41.8,43.8,45.8,49.5,51.5,53.1,55.6,57.8,60.8,67.097,75.233,79.928,85.726,92.024,94.068,100,105.686,110.868,115.445,119.526,123.396,125.229,128.078,131.983,135.019,138.24
Mauritius,The consumer price index rebased to 2010=100 by the EIU,,13.555,15.515,17.287,18.253,19.602,20.915,21.293,21.384,23.323,26.278,29.823,31.911,33.393,36.912,39.607,41.978,44.757,47.807,51.065,54.564,56.883,59.954,63.819,66.305,69.417,72.843,79.35,86.369,94.725,97.128,100,106.507,110.602,114.518,118.195,119.741,120.89,125.35,129.392,129.977,133.267
Mexico,The consumer price index rebased to 2010=100 by the EIU,,0.078,0.1,0.159,0.32,0.53,0.836,1.558,3.611,7.733,9.281,11.754,14.418,16.654,18.278,19.551,26.394,35.468,42.783,49.598,57.824,63.313,67.344,70.732,73.948,77.415,80.503,83.425,86.734,91.179,96.009,100,103.407,107.659,111.757,116.248,119.411,122.78,130.198,136.577,141.543,146.35
"Micronesia, Federated States of",The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,71.387,72.667,73.624,73.506,73.327,74.607,77.655,81.069,84.019,89.526,96.431,100,104.059,110.588,112.97,113.737,113.558,112.888,89.189,90.518,–,–
Moldova,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,0.113,1.934,11.34,14.726,18.188,20.329,21.893,30.488,40.03,43.939,46.268,51.703,58.179,65.136,73.459,82.544,93.096,93.037,100,107.687,112.583,117.76,123.752,135.727,144.358,153.843,158.527,166.196,172.455
Mongolia,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,0.844,2.283,8.404,15.765,15.772,23.167,31.636,34.596,37.213,41.529,44.135,44.54,46.825,50.684,57.127,60.192,65.989,84.437,90.871,100,108.411,123.947,136.95,153.732,162.536,163.742,170.801,182.436,195.763,202.993
Montenegro,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,84.318,86.78,90.554,98.483,99.621,100,103.451,107.735,110.113,109.326,111.02,110.733,113.36,116.312,116.738,116.46
Montserrat,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,77.927,81.028,81.963,84.507,86.765,88.444,90.841,95.293,97.948,100,103.666,108.607,109.551,109.133,107.882,107.617,108.898,110.33,109.147,107.083
Morocco,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,65.7,69.1,72.7,77.1,79.4,80.2,82.5,83,84.6,85.1,87.5,88.5,89.8,90.7,93.7,95.6,99.202,99.021,100,100.906,102.221,104.115,104.587,106.227,107.95,108.756,110.497,110.769,111.458
Mozambique,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,7.9,11.2,18.7,27.7,29.8,30.2,31.1,35,38.2,44.6,50.6,57,61.1,69.2,74.846,85.702,88.946,100,111.165,114.058,118.918,121.963,126.296,148.292,170.704,177.381,182.314,188.042
Myanmar,The consumer price index rebased to 2010=100 by the EIU,,0.568,0.569,0.599,0.633,0.664,0.709,0.775,0.955,1.12,1.428,1.68,2.222,2.709,3.571,4.432,5.548,6.451,8.367,12.675,15,14.991,18.155,28.516,42.104,40.717,44.531,53.436,72.151,91.488,92.835,100,105.021,106.563,112.576,118.152,129.321,138.281,144.606,154.543,168.181,174.55
Namibia,The consumer price index rebased to 2010=100 by the EIU,,5.913,6.787,7.841,8.781,9.581,10.725,12.16,13.695,15.454,17.792,19.931,22.303,26.258,28.499,31.559,34.724,37.481,40.814,43.347,47.065,51.427,56.193,62.53,67.046,69.831,71.409,74.959,79.868,87.13,95.35,100,105.014,112.075,118.362,124.687,128.925,137.575,146.043,152.301,157.975,161.458
Nauru,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,45.546,47.347,50.551,51.652,62.763,66.967,63.463,69.57,76.376,87.187,87.888,100.1,103.203,100,100.3,100.2,101.101,110.611,121.421,131.331,137.938,138.639,143.944,–
Nepal,The consumer price index rebased to 2010=100 by the EIU,,9.259,10.291,11.495,12.917,13.285,14.355,17.082,18.918,20.618,22.442,24.291,28.07,32.884,35.352,38.303,41.223,45.024,46.875,52.095,55.977,57.365,58.907,60.691,64.155,65.978,70.53,73.25,74.912,82.334,91.469,100,109.227,119.56,130.368,141.272,152.389,165.784,171.798,178.775,188.73,198.265
Netherlands,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,66.039,68.132,70.059,71.206,72.716,73.702,74.779,76.169,77.523,79.099,80.948,85.092,88.375,90.35,91.602,92.969,94.503,96,98.121,99.077,100,102.475,105.37,108.069,108.413,108.643,108.757,110.163,111.927,114.922,116.2
New Caledonia,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,75.534,77.718,78.766,79.873,81.464,82.37,82.561,83.83,85.783,87.334,88.311,89.046,90.143,92.801,93.707,96.476,97.372,100,102.427,104.219,105.558,105.739,106.343,106.957,108.437,109.877,110.149,109.575
New Zealand,The consumer price index rebased to 2010=100 by the EIU,,23.482,27.097,31.429,33.775,35.844,41.363,46.827,54.222,57.699,60.982,64.68,66.391,67.053,67.936,69.095,71.689,73.344,74.2,75.138,75.055,77.014,79.056,81.153,82.561,84.465,87.031,89.956,92.108,95.723,97.792,100,104.084,105.16,106.347,107.643,107.975,108.664,110.679,112.445,114.266,116.225
Nicaragua,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,15.793,19.552,23.54,25.11,27.858,31.097,33.968,38.388,42.697,45.716,48.452,50.269,52.935,57.418,62.93,68.682,76.324,91.456,94.828,100,108.082,115.857,124.124,131.616,136.877,141.699,147.157,154.436,162.74,168.732
Niger,The consumer price index rebased to 2010=100 by the EIU,,61.698,75.836,84.664,82.556,89.462,88.636,85.793,80.034,78.919,76.674,76.08,70.148,67.009,66.194,90.051,99.564,104.83,74.227,77.572,75.991,78.009,81.083,83.118,81.904,82.096,88.524,88.559,88.603,98.62,99.083,100,102.943,103.441,105.79,104.803,105.869,106.061,106.21,109.135,106.376,109.459
Nigeria,The consumer price index rebased to 2010=100 by the EIU,,0.413,0.513,0.551,0.65,0.895,0.949,1.017,1.132,1.492,2.257,2.433,2.731,3.925,6.204,9.724,16.82,21.748,24.07,25.961,27.679,29.6,35.185,39.717,45.292,52.084,61.387,66.436,70.016,78.125,87.919,100,110.825,124.374,134.939,145.799,158.936,183.882,214.227,240.136,267.504,302.94
North Macedonia,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,27.932,63.289,73.652,75.469,76.445,76.861,75.878,80.892,85.097,86.007,86.743,86.354,86.806,89.597,91.614,99.247,98.514,100,103.905,107.352,110.342,110.031,109.701,109.438,110.918,112.535,113.398,114.759
Norway,The consumer price index rebased to 2010=100 by the EIU,,31.168,35.42,39.428,42.776,45.436,48.032,51.479,55.958,59.685,62.436,65.014,67.222,68.805,70.37,71.338,73.102,74.016,75.916,77.635,79.472,81.914,84.375,85.434,87.569,87.976,89.333,91.405,92.084,95.54,97.639,100,101.276,101.954,104.117,106.252,108.559,112.422,114.521,117.706,120.257,121.804
Oman,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,68.3,71.5,72.2,72,72.3,74,74.7,74.3,73.7,74,73.147,74.152,73.947,74.117,74.581,76.026,78.685,83.262,93.585,96.833,100,104.042,107.102,108.217,109.324,109.395,110.608,112.375,113.365,113.517,112.491
Pakistan,The consumer price index rebased to 2010=100 by the EIU,,9.102,10.161,10.761,11.561,12.388,13.265,13.562,14.154,15.409,16.613,18.122,20.248,22.256,24.473,27.504,30.897,34.101,37.981,40.346,42.016,43.854,45.421,47.095,48.449,52.054,56.771,61.269,65.925,78.954,88.541,100,111.914,122.749,132.192,141.697,145.299,151.003,158.6,167.053,182.738,200.054
Palau,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,75.4,74.1,73.1,73.9,77.5,80.5,84.1,86.9,97.2,98.6,100,104.7,108.5,112.2,116.9,117.9,–,97.1,98.6,99.3,–
Palestine,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,54.025,58.144,61.388,64.792,66.604,67.419,71.264,74.402,76.64,80.699,83.803,85.36,93.803,96.384,100,102.876,105.737,107.559,109.422,110.988,110.744,110.98,110.764,112.488,111.687
Panama,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,67.597,67.669,68.173,69.027,70.288,70.608,71.481,72.228,73.111,74.032,74.498,75.449,76.564,76.816,77.757,78.873,79.028,81.269,83.267,86.749,94.316,96.586,100,105.83,111.873,116.384,119.459,119.624,120.506,121.564,122.489,122.055,120.162
Papua New Guinea,The consumer price index rebased to 2010=100 by the EIU,,12.128,13.128,13.878,14.979,16.079,16.679,17.579,18.13,19.13,20.005,21.405,22.881,23.881,25.056,25.781,30.208,33.733,35.084,39.835,45.811,52.938,57.839,64.666,74.169,75.769,77.119,78.97,79.695,88.247,94.349,100,104.441,109.18,114.595,120.552,127.809,136.339,143.758,150.014,155.917,163.499
Paraguay,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,27.353,31.04,34.074,36.432,40.646,43.382,47.275,50.733,56.045,64.026,66.785,71.342,78.166,84.532,93.142,95.569,100,108.244,112.24,115.228,121.021,124.811,129.906,134.6,139.947,143.806,146.348
