Imports from,1980 *y,.DESC,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
St Vincent and Grenadines,M534F364,India: Imports [cif] from St. Vincent & Grenadines (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.7,#N/A,1.14,1.97,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.88,#N/A,2.21,#N/A,20.33,#N/A,41.09,1.04,0,#N/A,#N/A,#N/A,0,0,#N/A,#N/A,0.02,#N/A,#N/A
Suriname,M534F366,India: Imports [cif] from Suriname (Mil.US$),0.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.02,#N/A,0.01,0.04,#N/A,1.35,0.33,#N/A,#N/A,0.15,0.21,2.51,1.2,0.8,5.1,2.44,0.91,1.36,1.46,0.71,3.51,10.36,14.53,31.31,221.32,37.26,83.95,90.68,67.12,30.06
Trinidad and Tobago,M534F369,India: Imports [cif] from Trinidad & Tobago (Mil.US$),#N/A,13.85,#N/A,#N/A,4.19,11.63,5.66,#N/A,#N/A,0.12,5.72,7.7,1.89,0.58,1.99,0.24,1.31,2.25,1.1,0.15,#N/A,0.09,0.12,5.55,9.87,4.86,38.6,143.42,90.71,147.12,79.97,204.75,5.28,9.67,36.07,83.9,154.3,101.69,181.97,78.94,179.56
Windward Islands,M534F376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,M534F377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Windward and Cayman Islands,M534F378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,M534F419,India: Imports [cif] from Bahrain (Mil.US$),88.31,78.97,126.58,100.86,#N/A,161.64,83.81,55.62,83.71,179.91,199.6,48.55,371.27,520.31,631.82,793.71,931.17,679.38,504.43,399.38,245.8,142.4,124.35,86.17,102.98,172.64,400.62,739.72,1695.4,537.75,665.9,684.44,862.08,578.09,442.69,355.1,322.86,361.06,582.46,385.49,492.85
Cyprus,M534F423,India: Imports [cif] from Cyprus (Mil.US$),0.01,0.14,0.54,1.6,2.09,7.79,0.38,0.53,0.4,1.24,0.97,0.96,22.37,11.22,2.15,1.22,0.67,1.85,1,1.58,1.37,2.14,3.66,2.64,4.15,20.35,89.39,136.7,189.61,12.27,19.22,28.01,21.7,20.73,21.19,50.16,67.63,12.24,29.11,402.69,56.09
Iran,M534F429,India: Imports [cif] from Iran (Mil.US$),1349.66,1820.72,893.99,786.9,476.9,661.02,281.17,36.1,59.41,194.83,481.51,584.99,524.2,329.61,475.94,574.29,809.75,693.35,513.53,1056.9,471.23,263.31,264.68,264.69,365.91,629.4,5896.48,10093.46,14003.35,10574,11110.94,11515.61,13455.05,10028.07,11253.04,6245.39,8284.76,11057.23,14772.89,3387.7,297.12
Iraq,M534F433,India: Imports [cif] from Iraq (Mil.US$),1340.26,233.2,939.17,747.98,691.49,489.06,102.78,402.03,336.99,182.1,404.27,2.5,1.17,0.03,0.04,0.03,0.04,139.05,159.75,187.58,55.1,0.01,0.03,0.11,0.86,1.82,4145.04,6503.38,9603.39,5841.25,7301.44,17525.06,18822.49,19665.81,16097.27,11322.45,9982.61,15311,23066.31,22070.23,16172.95
Israel,M534F436,India: Imports [cif] from Israel (Mil.US$),11.64,16.53,16.94,13.97,16.59,22.47,25.45,58.18,87.96,106.82,94.05,64.95,111.79,245.45,292.25,201.08,236.1,318.88,346.63,524,469.85,391.92,558.95,652.98,896.83,1020.42,1067.57,1340.39,2052.84,1793.95,2040.89,2549.23,2446.54,2361.72,2304.52,2089.32,2077.12,1991.71,2043.09,1657.2,1752.48
Jordan,M534F439,India: Imports [cif] from Jordan (Mil.US$),35.22,40.28,46.83,31.34,83.06,135.47,120.13,91.05,115.94,180.65,189.67,145.29,157.35,105.56,140.17,171.55,129.36,157.8,249.1,266.1,247.65,178.82,220.77,228.82,305.14,420.72,464,631.47,1800.41,842.02,820.76,1248.46,1076.98,697.56,791.54,882.18,840.53,880.74,1055.06,1095.16,1085.58
Kuwait,M534F443,India: Imports [cif] from Kuwait (Mil.US$),337.02,378.61,297.57,260.75,353.45,229.63,242.16,375.37,367.85,575.35,421.16,214.99,964.98,1065.55,1385.54,1884.09,2208.07,2325.85,1700.7,1809.43,562.58,88.32,153.05,151.74,255.75,422.88,4609.58,7265.44,10967.37,7534.97,9031.75,14647.28,17856.95,17533.99,15059.81,5961.35,4049.49,6122.04,7847.84,9126.09,5975.06
Lebanon,M534F446,India: Imports [cif] from Lebanon (Mil.US$),0.11,0.01,0.11,#N/A,0.11,0.42,0.01,0.03,0.04,#N/A,0,0.16,0.18,0.21,0.4,0.16,0.38,0.6,1.08,9.38,8.57,10.28,12.73,9.02,17,19,12.96,9.84,16.11,5.92,18.45,16.98,24.26,40.76,40.19,28.15,29.69,35.53,45.5,31.04,27.8
Oman,M534F449,India: Imports [cif] from Oman (Mil.US$),1.96,1.18,0.23,1.27,117.64,145.82,229.2,108.62,82.1,3.37,39.67,42.79,18.11,20.36,23.43,15.34,15.44,27.4,25.15,52.33,20.27,7.71,12.5,41.62,27.68,204.34,411.54,965.23,1503,2550.04,3634.22,4546,1928.92,3070.95,1848.47,1595.09,1286.34,3089.35,3559.6,3294.4,3045.15
Qatar,M534F453,India: Imports [cif] from Qatar (Mil.US$),52.72,56.95,40.19,15.14,46.79,74.36,29.33,26.42,34.82,15.55,24.29,35.78,102.39,117.83,105.89,97.5,146.55,111.1,77.98,174.88,111.7,83.17,107.72,168.56,525.95,844.43,1776.65,2359.24,3493.85,4106.87,6155.8,11282.84,16188.17,14447.01,16472.13,9664.51,7490.62,8092.97,10552.51,9519.38,8121.37
Saudi Arabia,M534F456,India: Imports [cif] from Saudi Arabia (Mil.US$),520.62,721.26,1719.55,969.57,1014.73,842.69,639.92,601.1,900.26,895.6,1475.19,1109.35,1649.46,1600.7,1512.94,1859.9,2428.24,2573.65,2000.7,2720.25,1219.95,496.11,494.54,679.5,1130.1,1549.54,10446.01,17896.82,23204.29,14602.8,20406.52,28321.09,33183.61,36083.45,32580.72,21258.69,18446.6,21067.2,28367.79,26996.48,17723.81
Syria,M534F463,India: Imports [cif] from Syria (Mil.US$),#N/A,#N/A,0.06,0.01,3.57,0.44,#N/A,0.03,1.08,1.24,0.05,#N/A,1.04,9.52,21.88,4.64,20.82,12.45,10.93,11.53,7.9,7.06,8.48,5.7,3.89,4.8,60.94,35.08,87.41,153.22,89.71,105.35,164.7,16.25,85.74,35.76,35.66,28.86,15.14,15.71,14.92
UAE,M534F466,India: Imports [cif] from United Arab Emirates (Mil.US$),378.26,598.31,409.33,229.82,284.94,482.43,341.51,527.02,532.73,793.2,963.66,993.78,727.07,657.82,1307.08,1593.55,1657.21,1769.03,1735.9,2180.95,1077.8,909.52,946.52,1784.12,3951.43,4425.83,7581.68,12267.26,24478.86,15417.9,30976.81,35656.71,38258.37,33214.2,27211.65,20456.44,19276.09,23091.21,26786.55,30283.32,23901.11
Egypt,M534F469,India: Imports [cif] from Egypt (Mil.US$),59.56,0.57,10.01,13.13,16.62,54.16,137.63,152.68,150.42,20.77,44.71,67.05,575.93,445.86,229.92,92.2,63.46,160.75,192.45,381.03,140.08,71.75,194.91,130.3,127.19,203.5,1362.37,1922.83,2072.65,1707.81,1413.05,2852.53,2618.26,2412.3,1876.51,1467.65,1005.76,1216.07,1690.12,1997.48,1768.33
Yemen,M534F474,"India: Imports [cif] from Yemen, Rep of (Mil.US$)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,32.08,42.14,81.53,110.23,20.11,22.74,21.84,16.88,12.3,198.88,76.88,46.98,43.63,32.88,30.38,15.21,1510.64,1604.44,919.01,1146.13,2227.7,802.69,1032.11,911.04,404.5,184.79,4.98,79.81,83.44,22.94,13.72
The Occupied Territories,M534F487,India: Imports [cif] from West Bank and Gaza (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.29,1.57,0.11
Afghanistan,M534F512,India: Imports [cif] from Afghanistan (Mil.US$),12.99,2.74,10.91,13.98,14.35,11.84,19.51,19.53,18.55,4.83,14.07,10.87,5.77,2.68,2.01,7.67,4.26,8.8,23.75,22.85,25.23,19.93,18.22,35,43.36,55.57,40.48,90.55,130.61,120.7,144.58,119.91,148.64,209.09,242.14,315.47,282.3,366.19,420.24,492.76,511.43
Bangladesh,M534F513,India: Imports [cif] from Bangladesh (Mil.US$),12.35,13.55,18.61,5.75,26.74,28.9,7.9,14.11,12.28,13.95,15.26,5.73,9.78,12.93,34.27,78.82,57.96,53.65,59.5,74.25,79.85,59.1,61.32,73.73,60.57,110.11,203.13,249.87,329.45,234.88,359.13,583.07,596.61,554.41,556.64,651.26,711.67,550.97,899.47,1229.86,1024.44
Bhutan,M534F514,India: Imports [cif] from Bhutan (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5,1.28,2.89,3.04,16.43,16.54,18.5,7.93,15.03,20.33,23.21,30.1,47.32,50.7,84.33,128.27,181.15,161.2,141.29,186.14,206.16,182.81,148.89,159.46,245.62,220.06,195.8,255.92,248.96,184.25
Brunei,M534F516,India: Imports [cif] from Brunei Darussalam (Mil.US$),#N/A,0.02,#N/A,0.02,0.3,0.24,0.01,#N/A,#N/A,#N/A,0.02,0.11,0.11,0,0.11,0.03,0.01,#N/A,#N/A,0.08,0.18,0.3,0.33,0.33,0.49,0.79,214.15,240.58,318.52,486.16,207.43,719.53,757.94,733.44,942.16,607.86,461.4,591.8,433.92,583.39,422.89
Myanmar,M534F518,India: Imports [cif] from Myanmar (Mil.US$),7.62,5.7,17.06,22.77,61.48,25.76,28.59,31.22,43.97,174.55,90.14,51.22,104.07,117.14,120.43,160.46,148.37,212.3,186.35,172.15,179.18,345.43,345.64,390.77,400.05,495.95,718.4,802.79,912.61,1195.26,1121,1257.7,1349.89,1372.73,1401.03,1023.7,1086.54,739.6,446.44,505.25,575.59
Cambodia,M534F522,India: Imports [cif] from Cambodia (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,0.01,#N/A,#N/A,#N/A,2.63,2.03,0.2,28.88,0.36,1.13,2.18,0.75,1.03,1.07,0.74,0.36,0.25,0.64,1.38,2.55,4.46,3.72,7.68,8.45,10.38,12.64,16.44,42.38,43.13,47.97,48.53,46.63,38.19
Sri Lanka,M534F524,India: Imports [cif] from Sri Lanka (Mil.US$),31.74,55.53,10.66,25.55,14.45,5.38,9.79,5.62,11.47,10.59,22.05,11.51,13.57,17.17,30.97,38.91,34.88,33.95,35.83,42.58,44.8,54.76,84.96,168.76,321.88,527.87,497.39,590.99,431.25,327.98,519.67,718.99,638.93,672.84,591.69,853.89,631.95,609.66,1318.91,993.47,686.32
Taiwan,M534F528,India: Imports [cif] from Taiwan (Mil.US$),53.63,70.62,98.24,95.66,59.87,117.3,107.42,136.1,174.98,299.35,420.69,294.87,282.2,148.42,213.81,311.61,358.32,460.25,393.65,403.03,485.25,539.98,636.87,742.39,984.31,1310.24,1604.47,2219.84,2936.48,2367.65,3641.74,5243.21,3987.41,4135.04,4043.59,3547.16,3105.25,3635.55,4537.68,4194.2,3623.49
Hong Kong,M534F532,India: Imports [cif] from Hong Kong (Mil.US$),27.36,49.88,55.48,48.28,52.88,53.85,63.16,92.91,107.88,131.37,157.66,106.72,169.61,188.27,176.96,242.12,329.85,317,416.05,725.75,843.55,709.35,911.66,1362.65,1656.14,2087.77,2414.63,2645.34,5228.1,4970.76,7794.2,11852.72,7526.15,7919.86,5803.95,5911.21,7113.72,11003.29,15903.03,17384.34,14578.34
India,M534F534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,M534F536,India: Imports [cif] from Indonesia (Mil.US$),24.59,22.08,15.9,17.05,42.15,37.88,77.25,51.67,56.25,53.2,172.94,67.26,73.45,87.72,283.2,383.67,578.35,698.38,804.73,926.38,922.35,950.61,1294.86,1936.78,2412.06,2910.52,3878.83,4660.04,6389.23,7863.91,9718.81,13995.44,14275.83,15232.09,15260.84,13883.31,12303.98,16229.43,16029.89,15544.29,12020.79
South Korea,M534F542,India: Imports [cif] from Korea (Mil.US$),172.54,171.21,266.5,161.82,123.79,205.45,250.95,267.15,304.73,284.2,325.46,313.68,409.64,365.35,694.02,716.9,836.03,972.25,1296.25,1303.58,988.68,1131.83,1426.85,2502.38,3102.86,4300.08,4745.48,5729.72,8895.97,7856.36,9937.69,12436.66,13489.73,12452.55,13523.82,13113.09,12213.41,16105.92,16368.34,16114.65,12168.87
Laos,M534F544,India: Imports [cif] from Lao P.D.R. (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.12,0.13,0.07,0.09,0.3,0.18,0.56,0.2,20.04,67.05,140.75,111.73,59.66,143.06,171.91,248.61,17.24,2.61,2.07
Macau,M534F546,India: Imports [cif] from Macao (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.59,0,#N/A,0,0.22,0.02,0.98,0.06,0.03,0.15,0.13,0.02,0.15,9.89,5,0.61,0.12,0.19,0.33,0.3,0.3,0.26,0.42,1.29,2.16,2.81,7.18,7.66,8.42,7.79,4.26,19.94
Malaysia,M534F548,India: Imports [cif] from Malaysia (Mil.US$),341.7,240.1,258.89,272.1,442.67,403.29,394.75,574.5,620.76,359.97,545.54,391.09,534.39,227.37,431.94,769.71,933.9,1161.05,1501.03,1920.1,1388.6,1127.01,1382.45,1901.27,2177.41,2386.46,4575.01,5827.38,7561.69,4923.03,5997.71,9121.96,10157.81,9061.16,10976.59,9563.19,8650.69,8898.34,10415.52,10411.77,7378.04
Maldives,M534F556,India: Imports [cif] from Maldives (Mil.US$),#N/A,#N/A,#N/A,0.01,0.06,0.02,0.02,0.02,0.01,0.03,0.03,0.03,0.09,0.06,0.5,0.13,0.18,0.2,0.13,0.33,0.25,0.23,0.35,0.36,0.53,1.64,2.79,3.87,4.71,3.24,31.56,18.4,7.31,4.12,4.47,5.06,6.26,7.18,20.05,5.88,17.74
Nepal,M534F558,India: Imports [cif] from Nepal (Mil.US$),21.04,44.53,46.39,41.52,43.81,50.47,40.49,40.91,35.49,3.3,15.1,19.19,22.92,18.78,13.89,27.46,49.35,87.43,132.48,177.68,238.47,355.88,300.31,284.97,326.52,371.34,324.44,547.29,567.45,427.15,506.71,538.7,567.32,504.65,602.04,504.94,407.5,374.04,403.61,648.91,629.96
Pakistan,M534F564,India: Imports [cif] from Pakistan (Mil.US$),76.46,76.71,49.9,14.36,20.47,27.91,14.63,23.45,38.02,34.18,44.86,57.61,145.77,46.78,47.15,37.37,38.59,42.35,171.9,104.75,65.05,69.51,49.83,54.45,85.91,158.41,287.33,296.67,377.32,273.8,321.34,362.66,574.12,373.71,529.32,456.4,462.43,431.84,542.68,67.09,2.55
Philippines,M534F566,India: Imports [cif] from Philippines (Mil.US$),11.54,12.93,16.37,5.77,9.47,8.61,5.05,5.73,4.76,13.27,4.21,31.47,13.27,6.91,10.01,14.75,20.56,24.88,34.9,51.48,61.3,75.22,116.54,122.52,166.93,223.47,184.41,195.32,256.97,316.88,396.76,446.86,492.46,407.04,401.43,519.2,475.87,712.73,617.23,557.4,505.66
Singapore,M534F576,India: Imports [cif] from Singapore (Mil.US$),475.17,463.14,438.34,348.66,445.31,321.4,252.65,309.91,365.65,491.58,689.06,311.14,688.58,593.15,720,965.77,974.25,1164.25,1337.63,1496.85,1481.52,1333.9,1402.13,1922.73,2457.97,3178.18,4955.61,7460.62,8747.04,6047.47,7269.77,8230.04,7603.25,6997.1,7071.25,7407.61,6719.83,7219.61,14329.7,14902.17,12306.75
Thailand,M534F578,India: Imports [cif] from Thailand (Mil.US$),24.23,57.92,21.49,67.72,89.76,67.53,56.71,38.27,82.69,76.5,62.24,48.75,66.63,53.51,145.85,146.24,175.86,224.28,263.15,314.13,335.37,404.38,390.02,551.54,777.38,1125.16,1612.1,2162.16,2758.83,2683.95,3948.74,5067.51,5463.78,5453.18,5686.98,5659.78,5316.77,6463.02,7670.97,7041.25,5223.76
East Timor,M534F579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,M534F582,India: Imports [cif] from Viet Nam (Mil.US$),2.3,2.44,#N/A,0.45,0.4,5.54,4.69,7.96,9.73,126.42,59.48,38.46,58.64,44.04,50.21,15.35,1.04,6.95,9,10.9,12.18,17.25,26.61,35.96,70.36,120.16,158.58,171.95,388.09,426.97,996.62,1539.1,1994.01,2838.08,2779.38,2683.83,3107.45,4147.51,7215.85,7450.71,5564.63
fmr Poss India,M534F588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Poss India,M534F597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,M534F611,India: Imports [cif] from Djibouti (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.08,0.02,#N/A,0.04,0.4,0.07,0.69,0.33,0.05,0.15,0.43,0.98,0.8,1.1,2.6,3.29,2.45,3.95,4.48,2.41,1.89,1.93,3.56,5.92,1.29,1.68,2.37,4.09,11.97,21.25,17.44
Algeria,M534F612,India: Imports [cif] from Algeria (Mil.US$),#N/A,318.47,3.62,#N/A,9.3,1.76,0.68,0.09,2.23,6.83,0.7,4.2,3.95,2.23,21.45,5.41,0.4,0.53,0.53,12.95,6.23,1.06,1.18,3.63,5.85,12.56,566.36,1111.86,1326.71,634.72,1896.83,1925.45,1052.88,904.97,641.17,286.9,578.95,1040.63,1623.06,1988.61,715.89
Angola,M534F614,India: Imports [cif] from Angola (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,5,#N/A,1,3,185,824,1229,3428,4847,6016,7269,6186,5653,3180,2000,4122,4353,3802,2022
Botswana,M534F616,India: Imports [cif] from Botswana (Mil.US$),1.28,2.78,2.5,1.93,0.55,0.16,0.07,0.18,0.19,0.08,0.41,#N/A,#N/A,0.18,0.15,0.21,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0.04,0.33,0.21,0.08,0.01,19.61,5.07,26.59,35.4,65.92,181.74,1050,568.36,1001.39,1745.37,1096.43,781.47,469.01
Burundi,M534F618,India: Imports [cif] from Burundi (Mil.US$),1.43,0.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.13,#N/A,#N/A,0.34,#N/A,0.53,0.05,#N/A,0.15,0.05,0.07,0.07,#N/A,0.23,0.4,0.14,#N/A,1.39,0.83,0.74,0.22,0.69,0.42,0.12,0.29,0.16,1.22,11.03,10.2,2.55,1.53
Cameroon,M534F622,India: Imports [cif] from Cameroon (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.12,0.09,0.54,0.18,0.03,3.76,1.88,3.13,12.85,7.9,8.33,6.77,7.39,7.14,9.37,11.18,12.1,8.76,16.01,31.68,63.61,209.79,332.92,506.9,298.13,582.62,750.57,428.44,213.83,304.33,426.13,356.69
Cape Verde,M534F624,India: Imports [cif] from Cabo Verde (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,2,3,3,4,3,3,2,3,3,2,2
CAR,M534F626,India: Imports [cif] from Central African Republic (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.04,#N/A,#N/A,#N/A,#N/A,0.11,#N/A,#N/A,#N/A,#N/A,0.07,4.7,#N/A,0.09,0.22,0.34,0.42,0.97,2.61,0.69,0.96,1.97,2.55,1.13,0.58,0.63,0.63,2.27,9.39,0.75,0.24
Chad,M534F628,India: Imports [cif] from Chad (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.14,0.02,0,0.11,#N/A,0.18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.41,3.05,2.03,0.44,0.14,0.78,3.66,7.26,0.56,0.16,45.96,141.02,14.79,367.82,140.96,86.13,502.88,255.12,115.84
Comoros,M534F632,India: Imports [cif] from Comoros (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.04,0.24,#N/A,0.06,#N/A,#N/A,1.36,#N/A,#N/A,0.23,0.08,#N/A,#N/A,0.58,0.46,0.44,0.23,2.95,6.18,3.29,0.64,0.46,8.36,2.52,5.61,7.45,12.17,12.67,23,28.23,41.13,18.7,19.08
Congo (Brazzaville),M534F634,India: Imports [cif] from Rep of Congo (Mil.US$),2.93,0.05,0.32,2.58,3.46,1.2,3.18,1.59,3.4,1.14,#N/A,#N/A,0.06,0.28,3.99,#N/A,#N/A,1.73,5.6,2.43,6.63,1.95,2.89,4.77,17.07,38.45,55.8,93.12,492.32,457.64,645.9,109.23,612.21,90.51,268.28,307.02,143.61,142.62,411.35,646.52,244.25
Democratic Republic of Congo,M534F636,"India: Imports [cif] from Congo, Dem Rep (Mil.US$)",25.37,9.82,9.5,60.11,76.25,37.55,40.36,66.19,70.69,48.32,63.38,69.42,56.61,25.24,29.54,30.25,37.39,34.83,12.9,1.78,0.28,0.12,#N/A,0.07,1.62,11.29,16.33,14.59,122.88,142.07,11.93,6.03,3.29,23.06,118.69,104.4,60.05,217.78,54.36,28.92,14.79
Benin,M534F638,India: Imports [cif] from Benin (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.04,0.06,0.05,0.36,1.11,2.36,3.68,5.26,5.56,15.56,9.76,12.58,12.98,35.23,49.75,39.52,39.4,49.44,72.15,78.05,79.97,74.2,119.05,117.48,140.03,288.76,245.86,176.43,215.42,278.24,207.61,211.19,370.32,334.13,356.37
Equatorial Guinea,M534F642,India: Imports [cif] from Eq Guinea (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,0.2,0.61,0.24,0.1,123.07,92.01,144.02,125.59,0.69,452.77,504.55,715.8,419.13,909.84,607.6,633.28,964.65,357.39
Eritrea,M534F643,India: Imports [cif] from Eritrea (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.99,0.5,1.2,7.02,0.09,0.54,3.16,11.19,2.94,199.76,169.38,63.12,2.11,#N/A,#N/A,0
Ethiopia,M534F644,India: Imports [cif] from Ethiopia (Mil.US$),0.16,0.02,0.04,0.04,0.36,0.55,0.12,#N/A,0,0.03,0.01,#N/A,0,0.6,1.38,0.77,0.47,0.78,0.43,0.75,3.08,18.52,12.51,8.29,9.47,8.95,10.64,13.05,11.5,15.75,28.58,32.89,32.65,29.42,37.3,60.28,70.25,45.44,58.21,101.36,30.9
Gabon,M534F646,India: Imports [cif] from Gabon (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.07,0.45,0.24,0.57,0.76,1.37,0.11,0.32,5.28,9.15,9.23,6.2,12.2,9.68,18.33,22.09,35.82,42.27,97.21,119.28,212.58,179.91,319.33,68.99,838.33,922.89,789.25,115.32,64.58,263.9,575.12,150.64,317.13
Gambia,M534F648,India: Imports [cif] from Gambia (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.69,0.69,0.21,0.05,0.6,0.65,0.3,0.54,3.52,3.96,9.55,12.56,16.66,15.8,28.71,28.97,14.54,39.48,27.65,31.77,36.26,31.68,42.73,57.86,44.48,40.9,38.79
Ghana,M534F652,India: Imports [cif] from Ghana (Mil.US$),11.45,0.21,1.54,18.39,29.97,0.66,10.69,14.64,20.82,0.65,2.74,3.46,5.25,12.23,15.57,16.58,10.12,4.73,5.38,9.85,23.15,19.37,18.96,29.36,45.45,72.01,97.14,131.15,197.16,137.2,156.65,389.97,273.52,259.18,804.25,3217,1445.08,2754.97,3570.05,2498.96,1206.22
Guinea-Bissau,M534F654,India: Imports [cif] from Guinea-Bissau (Mil.US$),0.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.09,#N/A,14.05,20.45,2.94,6.39,27.77,31.74,7.45,36.15,24.9,31.78,55.3,9.67,37.96,51.19,66.26,89.81,61.33,60.32,100.53,116.7,130.37,290.11,124.28,132.14,160.63,197.78,215.7,255.16,124.51,121.7,128.74
Guinea,M534F656,India: Imports [cif] from Guinea (Mil.US$),1.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.49,5.87,6.99,0.92,1.48,8.67,6.19,0.19,3.54,0.08,4,4.93,4.58,5.08,15.11,6.91,21.38,23.59,262.36,610.84,342.42,64.37,355.5,127.63,215.95,624.95,573.91,476.66,254.22,506.32,408.3,393.98,1006.91
Côte d'Ivoire,M534F662,India: Imports [cif] from Cote d'Ivoire (Mil.US$),0.53,0.08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.24,7.85,5.76,10.61,11.95,9.71,32.25,39.92,45.49,51.55,41.48,82.65,116.7,77.73,83.61,96.33,143.18,185.46,184.73,194.85,292.53,316.09,260.61,410.96,444.23,328.33,529.14,569.63,449.25,437.81,552.63,508.11,260.78
Kenya,M534F664,India: Imports [cif] from Kenya (Mil.US$),11.13,11.46,10.33,12.35,3.78,7.7,7.95,7.97,8.75,7.58,22.13,9.24,10.78,11.02,13.47,14.38,15.25,20.58,32.38,24.8,19.5,27.44,33.15,39.84,43.91,48.07,54.49,79,82.64,76.3,109.09,131.16,102.45,121.08,127.76,111.76,126.47,72.07,130.99,96.07,96.27
Lesotho,M534F666,India: Imports [cif] from Lesotho (Mil.US$),#N/A,#N/A,0.52,1.02,2.07,2.84,0.38,0.76,1.27,#N/A,2.75,#N/A,0.98,2.51,0.66,0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,#N/A,#N/A,#N/A,0.29,0,1.56,2.36,4.03,3.74,1.15,5.15,13.55,74.3,26.73,0.04,0.08
