Imports from,1980 *y,.DESC,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Japan,M534F158,India: Imports [cif] from Japan (Mil.US$),815.07,880.4,1179.43,1265.12,1085.1,1363.56,1931.17,1741.74,1874.49,1493.71,1800.83,1364.3,1504.2,1376.47,1839.88,2234.33,2133.52,2155.53,2385.5,2518.28,2015.6,1756.17,1913.86,2459.84,2921.39,3854.61,4461.98,5891.33,8160.97,6385.9,8282.05,11196.34,12402.71,10540.97,9968.64,9638.08,9842.91,10469.42,12534.53,12746.15,10206.85
Finland,M534F172,India: Imports [cif] from Finland (Mil.US$),45.12,49.44,37.68,51,35.07,70.11,66.71,58.1,71.93,85.94,77.38,73.39,67.65,63.15,93.66,110.04,211.08,181.8,177.45,148.6,190.25,158.48,189.77,252.32,350.31,534.81,603.21,847.3,1140.27,1109.39,1395.94,1976.81,1399.87,955.41,1071.63,990.95,932.39,1272.95,1338.06,714.51,680.78
Greece,M534F174,India: Imports [cif] from Greece (Mil.US$),39.03,44.37,6.41,2.02,13.64,6.41,2.02,5.04,8.15,7.7,7.37,8.52,19.32,21.45,13.01,33.96,28.48,31.18,16.75,22.75,23.22,32.46,24.5,41.02,29.4,48.23,171.33,147.48,87.85,151.74,89.93,116.32,102.36,108.81,131.45,115.16,95.67,100.42,143.67,121.64,130.31
Iceland,M534F176,India: Imports [cif] from Iceland (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.02,0.05,0.09,0.18,0.29,0.31,0.16,0.25,2.85,1.68,1,1.04,10.72,10.53,4.05,5.31,4.38,3.77,4.29,10.17,4.3,5.07,2.2,1.66,8.58,5.39,2.92,7.26,10.47,10.02,5.35
Ireland,M534F178,India: Imports [cif] from Ireland (Mil.US$),15.05,11.29,2.26,6.43,9.85,14.73,9.14,14.24,12.88,7.21,14.66,7.75,15.43,17.91,31.47,21.78,18.49,31.85,39.08,51.83,67.92,70.03,94.72,122.84,130.6,167.22,257,266.94,237.26,266.08,240.52,366.14,461.32,616.52,529.24,554.88,489.87,588.93,469.53,543.71,403.73
Malta,M534F181,India: Imports [cif] from Malta (Mil.US$),7.42,9.06,6.14,7.36,0.32,#N/A,0.61,#N/A,#N/A,0.02,#N/A,0.01,0,9.41,0.01,0.07,0.62,24.95,8.3,#N/A,#N/A,0.14,0.16,0.74,0.63,21.08,153.92,55.85,5.12,8.91,34.63,36.93,46.85,38.81,24.67,25.59,28.02,15.71,18.16,41.17,123.83
Portugal,M534F182,India: Imports [cif] from Portugal (Mil.US$),13.37,2.55,2.97,5.78,3.04,17.26,15.75,15.76,17.15,14.76,24.8,4.74,12.48,7.92,10.58,6.85,7.4,13.8,10.88,9.6,11.42,10.68,14.72,14.14,16.88,27.42,30.42,34.39,56.22,64.51,75.82,269.04,343.69,371.27,189.19,105.92,130.38,182.9,139.4,141.11,116.25
Spain,M534F184,India: Imports [cif] from Spain (Mil.US$),82.77,97.4,99.19,102.94,108.31,129.03,153.22,154.6,146.85,117.08,110.97,65.79,96.12,95.11,173.44,170.16,195.89,173.55,201.03,158.5,141.63,146.25,175.04,238.37,344.12,527.48,613.54,902.05,1147.23,1027.68,1433.37,1712.11,1771.72,1922.11,1741.84,1932.03,1727,1854.64,1690.16,1655.42,1432.56
Turkey,M534F186,India: Imports [cif] from Turkey (Mil.US$),3.59,25.92,6.6,18.6,32.7,34.72,64.17,121.41,162.84,60.9,93.41,59.46,83.39,31.02,68.26,47.96,61.75,65.65,90.03,97.1,56.63,64.16,62.07,69.9,114.88,179.08,298.12,1350.24,1953.99,1578.98,796.29,886.52,1885.94,887.88,1354.14,997,1129.7,1117.4,2032.43,2285.9,1579.48
Yugoslavia,M534F188,India: Imports [cif] from Yugoslavia [DISC] (Mil.US$),49.22,40.07,36.34,24.66,50.94,57.16,76.55,115.13,128.23,82.25,115.48,58.23,47.12,1.92,#N/A,0.3,2.12,19.18,9.48,12.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
