Country,Series,1993q1,1993q2,1993q3,1993q4,1994q1,1994q2,1994q3,1994q4,1995q1,1995q2,1995q3,1995q4,1996q1,1996q2,1996q3,1996q4,1997q1,1997q2,1997q3,1997q4,1998q1,1998q2,1998q3,1998q4,1999q1,1999q2,1999q3,1999q4,2000q1,2000q2,2000q3,2000q4,2001q1,2001q2,2001q3,2001q4,2002q1,2002q2,2002q3,2002q4,2003q1,2003q2,2003q3,2003q4,2004q1,2004q2,2004q3,2004q4,2005q1,2005q2,2005q3,2005q4,2006q1,2006q2,2006q3,2006q4,2007q1,2007q2,2007q3,2007q4,2008q1,2008q2,2008q3,2008q4,2009q1,2009q2,2009q3,2009q4,2010q1,2010q2,2010q3,2010q4,2011q1,2011q2,2011q3,2011q4,2012q1,2012q2,2012q3,2012q4,2013q1,2013q2,2013q3,2013q4,2014q1,2014q2,2014q3,2014q4
Brazil,Consumer price index (av),0.4059962523422861,0.8432229856339788,1.9175515302935664,4.7282948157401625,12.960649594003748,38.3635227982511,58.21361648969394,62.21111805121799,65.34665833853842,69.58151155527796,73.63522798251093,76.5521549031855,79.38788257339164,81.8363522798251,84.02248594628358,84.79075577763896,86.5896314803248,88.18863210493441,88.8319800124922,89.29419113054341,90.61211742660838,91.48657089319175,91.16177389131792,90.91817613991256,92.69831355402872,94.47220487195503,96.17738913179262,98.51967520299813,100.0,100.69331667707682,103.44784509681449,104.62835727670206,106.20861961274204,108.26046221111805,110.31230480949405,112.46720799500312,114.30980637101811,116.1461586508432,118.73828856964397,124.44097439100561,132.17988757026856,135.7276702061212,136.80199875078074,138.61961274203625,141.10555902560898,143.67270455965019,146.23985009369144,148.65084322298563,151.6114928169894,154.34103685196752,155.31542785758901,157.6951905059338,159.9625234228607,160.9681449094316,161.26795752654593,162.6483447845097,164.74078700811992,166.24921923797626,167.7576514678326,169.56901936289822,172.3797626483448,175.5153029356652,178.25733916302312,180.13741411617738,182.3422860712055,184.59712679575267,186.10868207370393,187.76389756402247,191.211742660837,192.93566520924423,194.65958775765145,198.23860087445348,202.88569643972517,206.67707682698313,209.23797626483446,211.5427857589007,214.02873204247345,216.73953778888193,219.48157401623988,222.10493441599,223.9396819618455,224.92465856314405,225.45343916148693,225.7373128299733,225.8897092301295,225.97152260473524,226.01544377516652,226.03902267313217
Russia,Consumer price index (av),0.641025641025641,1.0683760683760684,2.1367521367521367,3.418803418803419,5.128205128205128,6.4102564102564115,7.478632478632479,10.683760683760685,16.025641025641026,20.51282051282051,24.14529914529915,27.350427350427353,30.555555555555557,32.47863247863248,33.119658119658126,34.18803418803419,36.11111111111111,37.17948717948718,38.03418803418804,38.03418803418804,39.31623931623932,39.95726495726496,46.36752136752137,64.95726495726495,79.70085470085469,86.75213675213676,92.0940170940171,95.72649572649573,100.0,103.84615384615385,109.1880341880342,114.52991452991455,122.22222222222223,129.27350427350427,132.05128205128204,136.11111111111111,144.01709401709405,149.14529914529913,151.9230769230769,156.6239316239316,165.17094017094018,170.29914529914532,172.43589743589746,176.0683760683761,182.6923076923077,187.3931623931624,191.45299145299145,196.5811965811966,206.62393162393164,213.24786324786325,215.81196581196585,218.80341880341882,229.0598290598291,233.33333333333334,236.11111111111111,238.6752136752137,246.7948717948718,251.92307692307696,257.05128205128204,266.02564102564105,278.41880341880346,289.3162393162394,295.51282051282055,302.56410256410254,316.66666666666663,325.42735042735046,329.27350427350433,330.34188034188037,339.7435897435898,344.65811965811974,349.5726495726496,357.05128205128204,371.58119658119665,377.56410256410254,381.62393162393164,386.5384615384616,397.86324786324786,406.6239316239317,412.17948717948724,417.52136752136755,421.92081239675946,425.4196002019861,428.2021140083245,430.4149898709012,432.1748444211356,433.57442046168876,434.6874744314214,435.5726633055092
India,Consumer price index (av),56.11587982832618,57.29613733905579,59.33476394849785,61.1587982832618,61.37339055793991,63.19742489270386,65.87982832618026,67.16738197424893,67.48927038626609,69.63519313304721,72.96137339055794,73.92703862660944,73.39055793991417,76.07296137339056,79.29184549356223,80.68669527896995,81.22317596566523,81.97424892703863,83.2618025751073,85.1931330472103,88.51931330472102,90.45064377682402,96.13733905579397,100.42918454935621,96.45922746781116,96.88841201716738,98.81974248927038,100.85836909871244,100.0,101.93133047210301,102.89699570815452,103.862660944206,103.00429184549355,104.72103004291844,107.72532188841201,108.79828326180258,108.2618025751073,109.4420600858369,112.01716738197425,112.76824034334763,112.33905579399142,114.59227467811158,115.77253218884121,116.52360515021458,116.84549356223177,117.70386266094421,120.70815450643777,121.45922746781115,121.78111587982832,122.42489270386265,125.10729613733903,127.57510729613735,127.6824034334764,130.15021459227466,133.36909871244634,135.0500715307582,136.73104434907012,138.41201716738198,142.38197424892704,143.77682403433477,145.1716738197425,149.14163090128756,155.2575107296137,158.4763948497854,159.01287553648066,162.44635193133047,173.17596566523605,179.39914163090128,182.02789699570812,184.656652360515,191.30901287553647,196.0300429184549,199.89270386266097,202.95064377682402,206.0085836909871,208.90557939914163,211.6952789699571,214.16309012875536,216.73819742489272,219.20600858369102,222.17822260098333,225.125983905511,228.04949367227624,230.9489514211937,233.824555030707,236.67650075129325,239.50498321885664,242.31019546801153
China,Consumer price index (av),58.69336143308747,61.85458377239199,63.22444678609062,66.1749209694415,71.75974710221284,75.34246575342465,79.45205479452055,83.87776606954688,87.88198103266596,90.20021074815594,91.14857744994731,93.25605900948366,96.10115911485774,98.31401475237091,98.41938883034773,99.68387776606954,101.05374077976819,101.2644889357218,100.52687038988408,100.73761854583772,101.36986301369863,100.42149631190726,99.05163329820863,99.57850368809272,99.89462592202317,98.2086406743941,97.68177028451001,98.84088514225499,100.0,98.2086406743941,97.89251844046365,99.68387776606954,100.73761854583772,99.78925184404636,98.63013698630135,99.57850368809272,100.10537407797682,98.73551106427819,97.89251844046365,98.94625922023182,100.6322444678609,99.36775553213909,98.73551106427819,101.58061116965227,103.37197049525815,103.79346680716543,103.89884088514225,105.11064278187565,106.32244467860905,105.58482613277134,105.26870389884088,106.21707060063224,107.58693361433087,106.95468914646997,106.6385669125395,108.42992623814543,110.53740779768178,110.85353003161222,113.17175974710221,115.59536354056901,117.54478398314015,119.49420442571127,119.072708113804,118.54583772391992,118.65121180189672,117.59747102212854,117.59747102212854,119.44151738672286,121.28556375131716,121.07481559536355,121.70706006322445,124.86828240252896,127.3972602739726,128.24025289778714,127.92413066385669,130.13698630136986,132.7713382507903,133.19283456269758,132.98208640674395,135.3003161222339,137.7500858308539,138.51993107640337,138.76185655209594,138.837882137923,138.86177333699496,138.86928119618324,138.871640556608,138.87238199054735
Japan,Consumer price index (av),98.15354713313896,98.15354713313896,98.15354713313896,98.15354713313896,98.15354713313896,98.15354713313896,98.15354713313896,98.15354713313896,98.15354713313896,97.8620019436346,97.8620019436346,97.7648202137998,98.15354713313896,98.05636540330418,98.25072886297374,98.34791059280855,98.63945578231292,100.0,100.38872691933915,100.48590864917395,100.58309037900874,100.48590864917395,100.0971817298348,100.97181729834791,100.48590864917395,100.19436345966956,100.0971817298348,99.9028182701652,100.0,99.80563654033041,99.61127308066084,99.51409135082604,99.41690962099125,99.02818270165209,98.73663751214771,98.44509232264333,98.05636540330418,98.15354713313896,97.95918367346937,97.8620019436346,97.8620019436346,97.8620019436346,97.7648202137998,97.57045675413022,97.7648202137998,97.57045675413022,97.57045675413022,98.05636540330418,97.47327502429542,97.18172983479106,96.98736637512147,97.08454810495627,97.37609329446065,97.47327502429542,97.57045675413022,97.37609329446065,97.37609329446065,97.37609329446065,97.37609329446065,97.8620019436346,98.25072886297374,98.73663751214771,99.41690962099125,98.8338192419825,98.15354713313896,97.667638483965,97.18172983479106,96.89018464528668,97.08454810495627,96.7930029154519,96.40427599611273,96.98736637512147,97.08454810495627,97.37609329446065,97.667638483965,97.8620019436346,98.05636540330418,98.25072886297374,98.54227405247813,98.8338192419825,98.93226120822273,98.98733320159408,99.01814246485579,99.03537828009726,99.04502061800437,99.05041489028058,99.05343264112796,99.05512088000626
US,Consumer price index (av),84.12698412698413,84.7148736037625,85.12639623750736,85.83186360964139,86.24338624338624,86.71369782480895,87.53674309229865,88.06584362139918,88.7125220458554,89.41798941798942,89.88830099941212,90.3586125808348,91.18165784832452,91.9459141681364,92.47501469723693,93.29805996472663,93.82716049382715,94.06231628453851,94.5326278659612,95.06172839506173,95.23809523809524,95.53203997648443,96.06114050558496,96.47266313932981,96.82539682539682,97.5896531452087,98.29512051734274,99.00058788947679,100.0,100.76425631981188,101.70487948265728,102.41034685479129,103.40975896531452,104.11522633744856,104.40917107583773,104.35038212815991,104.70311581422693,105.52616108171664,106.05526161081717,106.70194003527338,107.81893004115226,107.64256319811875,108.40681951793063,108.8183421516755,109.75896531452088,110.55261610817166,111.34626690182246,112.52204585537919,113.10993533215756,113.87419165196944,115.57907113462669,116.63727219282775,117.28395061728396,118.34215167548503,119.45914168136392,118.93004115226337,120.10582010582011,121.51675485008818,122.22222222222223,123.75073486184598,125.10288065843622,126.74897119341564,128.68900646678426,125.69077013521459,124.92651381540271,125.77895355673132,126.63139329805998,127.5132275132275,127.86596119929455,127.74838330393888,128.1599059376837,129.04174015285125,130.68783068783068,131.27572016460906,131.45208700764258,131.86360964138743,132.68665490887713,133.68606701940035,134.5679012345679,135.44973544973547,136.09213239451086,136.73452762761792,137.37692114906122,138.01931295884532,138.6617030569748,139.3040914434542,139.9464781182881,140.58886308148104
Germany,Consumer price index (av),89.3709327548807,90.13015184381777,90.72668112798264,91.3232104121475,92.0824295010846,92.62472885032538,93.27548806941431,93.60086767895878,93.92624728850323,94.36008676789588,94.68546637744033,95.0108459869848,95.22776572668113,95.7700650759219,95.98698481561821,96.42082429501086,96.96312364425162,97.18004338394793,98.0477223427332,98.37310195227765,98.15618221258134,98.59002169197397,98.80694143167027,98.91540130151843,99.10520607375271,99.295010845987,99.48481561822126,99.67462039045554,100.0,100.21691973969631,100.65075921908893,101.30151843817788,101.7353579175705,102.7114967462039,102.92841648590021,103.03687635574836,103.68763557483732,103.90455531453362,104.12147505422993,104.12147505422993,104.88069414316703,104.77223427331886,105.09761388286334,105.4229934924078,106.07375271149675,106.72451193058569,107.1583514099783,107.37527114967462,107.80911062906723,108.1344902386117,108.78524945770064,109.21908893709326,109.54446854663773,110.08676789587852,110.30368763557483,110.6290672451193,111.60520607375271,112.25596529284165,112.79826464208243,113.99132321041215,114.8590021691974,115.61822125813448,116.26898047722342,115.94360086767897,115.83514099783079,115.94360086767897,116.05206073752711,116.26898047722342,116.70281995661604,117.24511930585682,117.46203904555314,118.1127982646421,119.08893709327548,120.06507592190889,120.824295010846,121.80043383947938,123.10195227765726,124.40347071583513,125.81344902386115,127.33188720173536,128.69842665119424,130.04596366902877,131.37476249379262,132.6850836896669,133.97718419755415,135.25131738546202,136.50773309818604,137.74667770630182
