Exports to,1980 *y,.DESC,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Suriname,X534T366,India: Exports to Suriname (Mil.US$),0.37,0.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.75,0.49,0.74,1.87,0.55,1.5,1.36,1.18,1.18,1.8,1.25,1.16,1.71,3.25,13.75,16.14,16.4,12.6,10.14,21.02,9.42,12.1,20.24,24.25,25.43,16.47,10.08,15.35,20.83,32.3,16.04
Trinidad and Tobago,X534T369,India: Exports to Trinidad & Tobago (Mil.US$),2.29,1.86,2.65,2.36,1.91,1.5,1.41,0.65,0.77,3.88,4.17,2.04,2.81,3.86,3.02,3.84,6.82,10.25,9.15,8.25,8.57,10.02,19.44,20.31,25.56,57.21,97.72,129.04,377.91,191.97,57.51,75.2,82.71,101.29,106.11,112.38,81.5,92.17,83.8,85.94,71.17
Windward Islands,X534T376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,X534T377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Windward and Cayman Islands,X534T378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,X534T419,India: Exports to Bahrain (Mil.US$),22.43,18.67,24,24.97,#N/A,30.29,24.65,26.17,29.72,#N/A,38.95,49.37,46.79,49.14,59.9,61.64,65.17,64.08,58.73,59.35,74.07,78.82,93.55,108.61,134.09,183.3,185.75,234.67,294.91,243.3,618.58,660.33,611.72,668.4,474.73,653.93,475.56,493.86,712.04,606.6,457.03
Cyprus,X534T423,India: Exports to Cyprus (Mil.US$),2.87,7.1,1.14,0.7,2.43,1.16,1.78,3.25,4.53,3.7,6.04,12.35,34.28,13.48,25.89,19.82,16.8,28.7,26.53,32.85,32.53,31.35,24.71,27.02,27.54,31.65,33.15,44.26,161.67,139.77,43.26,49.58,58.11,59.92,54.92,60.1,72.57,96.37,64.74,446.12,85.5
Iran,X534T429,India: Exports to Iran (Mil.US$),134.64,140.76,71.99,128.02,115.32,84.08,38.07,93.2,88.9,#N/A,76.13,122.76,130.18,149.59,141.78,159.92,196.22,177.53,162.25,153.85,208.28,247.22,554.3,852.26,1138.84,1199.11,1385.19,1824.08,2306.96,1952.99,2519.9,2564.25,2591.33,4943.49,4413.61,3164.85,2412.89,2602.67,2854.56,3866.56,2243.73
Iraq,X534T433,India: Exports to Iraq (Mil.US$),68.55,78.48,69.72,45.28,43.85,35.52,19.82,9.52,17.88,#N/A,51.24,#N/A,0.08,4.34,0.38,0.31,2.45,8.95,30.03,46.13,75.35,157.79,212.86,110.1,115.16,149.75,191.58,254.16,451.19,473.6,693.76,667.97,1260.7,930.31,785.46,1136.72,973.32,1260.67,1855.18,2021.17,1457.96
Israel,X534T436,India: Exports to Israel (Mil.US$),12.61,7.11,15.64,20.15,11.99,13.48,18.74,35.83,49.42,55.41,60.99,64.15,74.4,124.67,141.46,184.64,219.55,317.9,354.75,463.58,479.15,392.19,582.91,701.62,923.46,1152.56,1291.44,1532.53,1645.66,1609.38,2804.56,3758.99,3815.12,3831.81,3584.5,2924.68,2913.51,3264.9,3785.73,3604.99,2599.26
Jordan,X534T439,India: Exports to Jordan (Mil.US$),7.54,10.13,5.37,6.79,3.63,4.5,13.13,4.67,6.92,10.62,22.97,101.93,61.57,65.27,59.59,67.8,79.08,71.93,68.9,64.3,75.33,78.01,96.58,138.7,127.58,170.79,180.3,312.57,551.07,257.35,377.29,744.74,1013.77,1434.41,1613.69,570.77,477.82,496.11,522.38,1054.62,613.64
Kuwait,X534T443,India: Exports to Kuwait (Mil.US$),135.76,114.58,122.83,121.94,89.49,99.93,75.46,85.01,96.12,197.82,68.76,52.38,120.37,96.83,125.34,131.18,148.95,178.1,170,156.9,187.9,198.85,239.49,301.96,382.85,490.66,589.2,664.92,846.9,734.06,1659.58,1415.97,1046.61,1050.26,1198.57,1216.73,1446.5,1370.31,1333.03,1340,1010.61
Lebanon,X534T446,India: Exports to Lebanon (Mil.US$),6.97,5.44,2.74,1.52,0.91,0.89,0.52,0.7,1.27,#N/A,1.58,8.67,8.63,7.5,8.93,15.15,18.52,24.68,26.6,31.7,43.75,41.49,47.99,57.01,64.18,70.74,68.19,89.15,128.18,136.1,155.11,206.38,251.73,281.27,302,244.47,211.94,245.52,273.91,226.52,169.27
Oman,X534T449,India: Exports to Oman (Mil.US$),43.1,47.31,46.03,43.07,48.06,49.74,42.46,48.42,65.6,94.46,56.33,74.07,84.18,78.34,80.3,98.86,122.48,111.45,116.28,129.23,141.65,150.37,186.2,243.89,257.24,373.24,574.93,860.57,872.56,981.98,903.69,1256.51,2429.42,2956.55,2359.13,1987.22,2461.36,2880.01,2286.67,2063.43,2308.35
Qatar,X534T453,India: Exports to Qatar (Mil.US$),23.4,20.73,25.15,19.44,15.74,20.02,12.57,14.83,16.72,27.37,21.72,19.14,27.08,28.58,25.59,28.66,37.95,41.73,41.4,36.75,56.6,63.81,84.33,120.36,135.01,246.86,313.36,486.24,689.46,564.99,374.61,728.2,701.25,701.15,1266.97,945.23,770.66,1185.24,1688.16,1306.28,1254.72
Saudi Arabia,X534T456,India: Exports to Saudi Arabia (Mil.US$),215.59,179.51,229.07,216.54,218.33,193.96,165.36,206.95,234.7,378.2,248.97,351.83,431.25,478.26,441.87,424.73,521.07,661.88,753.25,750.45,802.8,780.3,912.17,1077.66,1308.14,1710.34,2393.57,3426.91,5477.83,3730.49,4499.91,5645.56,8623.8,11793.24,12797.22,6944.15,5046.09,5220.63,5505.88,5969.55,6154.27
Syria,X534T463,India: Exports to Syria (Mil.US$),14.46,9.51,8.56,5.7,2.88,3.48,3.3,2.99,4.06,#N/A,9.46,18.46,23.74,28.55,25.32,29.87,45.36,54.85,57.85,60.23,71.7,92.88,115.52,181.4,236.08,270.8,375.5,606.78,387.78,338.35,448.72,564.88,351.44,205.05,217.03,138.62,124.84,146.14,160.14,159.19,123.73
UAE,X534T466,India: Exports to United Arab Emirates (Mil.US$),184.76,191.17,224.36,213.35,200.27,217.14,223.4,241.78,278.66,#N/A,454.69,737.9,479.52,725.58,1210.41,1306.31,1491.43,1638.3,1823.8,2028.93,2468.8,2550.57,3118.56,4676.05,6605,8280.81,11172.07,14728.22,24442.45,20666.7,29507.38,38772.97,36535.95,31957.06,33170.09,30315.87,30603.31,30037.9,29010.31,29924.51,17953.34
Egypt,X534T469,India: Exports to Egypt (Mil.US$),101.02,78.06,74.16,131.53,102.3,92.92,60.87,65.12,74.49,84.51,120.09,81.2,446.46,476.21,116.37,137.67,164.63,229.43,266.08,245.1,327.3,497.63,339.36,350.17,409.34,615.5,738.86,1237.42,1850.47,1290.06,1934.43,2381.12,2856,2583.11,3142.76,2348.82,2089.73,2349.83,2789.66,2660.01,2149.07
Yemen,X534T474,"India: Exports to Yemen, Rep of (Mil.US$)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,28.35,38.11,37.44,38.25,36.77,51.77,129.74,69.03,61.65,75.98,139.25,186.16,159.75,204.1,233.14,270.71,959.17,1059.64,886.37,741.41,492.75,601.61,1215.11,1306.74,1332.32,463.79,450.39,513.26,664.51,756.59,790.75
The Occupied Territories,X534T487,India: Exports to West Bank and Gaza (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.84,1.28,0.52
Afghanistan,X534T512,India: Exports to Afghanistan (Mil.US$),21.1,28.01,15.24,14.14,14.1,13.44,14.72,21.75,26.9,#N/A,58.78,18.03,33.63,28.67,14.51,14.69,20.44,21.58,14.9,28.1,27.73,20.85,51.67,124.29,154.4,148.36,171.96,232.07,362.27,469.21,393.5,501.67,479.93,474.98,443.05,533.47,473.57,639.1,728.71,889.64,855.24
Bangladesh,X534T513,India: Exports to Bangladesh (Mil.US$),105.52,49.01,60.18,41.97,89.97,104.19,112.59,145.48,169.99,176.23,297.11,324.56,353.18,429.62,521,959.62,832.45,807.13,943.33,726.13,860.33,1000.63,1132.54,1599.55,1624.82,1656.05,1636.98,2594.56,2969.72,2181.1,3023.64,3764.89,5017.8,5710.36,6579.88,5727.38,5711.64,7280.87,8826.53,8134.06,7912.82
Bhutan,X534T514,India: Exports to Bhutan (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.2,2.14,4.59,6.8,11.72,10.07,15.48,10.53,8.1,2.73,5.97,31.18,76.88,85.4,95.52,67.92,79.36,109.1,107.63,159.34,220.06,228.84,297.24,303.35,415.89,429.59,417.5,654.03,694.35,623.08
Brunei,X534T516,India: Exports to Brunei Darussalam (Mil.US$),0.02,0.08,0.03,0.05,0.37,0.09,0.04,#N/A,1.88,#N/A,0.27,0.57,0.74,0.23,1.3,4.96,6.49,3.23,3.05,1.8,2.8,2.21,4.05,4.56,4.8,33.47,16.97,9.91,18.35,24.42,21.26,895.62,33.12,36.96,42.61,30.48,37.49,48.12,66.97,56.77,60.05
Myanmar,X534T518,India: Exports to Myanmar (Mil.US$),4.77,1.95,7.23,2.53,1.44,1.73,1.04,0.86,1.31,#N/A,1.43,3.84,4.2,14.49,23.96,21.24,45.89,48.28,34.9,33.1,48.05,55.57,71.53,86,104.71,111.32,132.72,174.02,235.97,209.78,273.26,466.46,533.37,673.7,869.04,864.18,1156.35,1058.68,1234.98,961.02,837.62
Cambodia,X534T522,India: Exports to Cambodia (Mil.US$),0.79,3.18,0.14,0.02,#N/A,0.12,0.16,0.1,0.11,#N/A,1.31,0.02,0.18,0.31,1.45,1.84,1.3,2.65,5.03,7.35,7.9,10.51,17.7,18.91,17.35,22.68,45.17,53.11,54.43,41.39,61.07,88.15,110.54,122.13,153.54,145.78,109.57,120.18,178.23,203.79,144.04
Sri Lanka,X534T524,India: Exports to Sri Lanka (Mil.US$),100.62,65.23,73.41,95.96,117.4,71.28,67.12,73.56,90.28,116.56,101.52,174.53,231.35,246.82,333.58,383.39,458.38,486.25,450.13,483.75,604.9,610.19,848.46,1219.64,1345.11,1871.8,2197.85,2682.76,2880.51,1732.87,3313.93,4806.93,4193.79,4227.28,6433.18,5526.18,3910.61,4424.27,4662.49,4227.53,3224.13
Taiwan,X534T528,India: Exports to Taiwan (Mil.US$),61.59,24.74,19.84,26.57,19.33,21,49.92,75.09,83.23,#N/A,120.9,196.77,184.5,230.17,261.08,250.62,311.12,408.85,331.98,313.85,372.73,371.63,523.91,543.96,573.95,626.41,842.38,1529.57,1813.76,1327.43,2311.46,3482.19,2947.82,2359.09,2115.02,1472.42,1847.51,2148.98,2866.54,1637.4,1497.2
Hong Kong,X534T532,India: Exports to Hong Kong (Mil.US$),165.74,61.67,185.21,185.81,161.88,153.75,280.68,347.25,456.84,826.95,545.04,615.43,721.44,1145.14,1349.92,1821.11,1764.66,1914.65,1893.45,2353.33,2608.4,2407.56,2551.58,3099.69,3553.95,4276.45,4628.26,5899.06,7039.48,6938.38,9518.15,12643.1,12148.45,13024.16,13507.65,12218.27,13225.16,15014.83,13211.83,12049.29,9537.37
India,X534T534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,X534T536,India: Exports to Indonesia (Mil.US$),50.36,74.51,96.17,26.99,38.54,10.72,16.53,20.22,25.43,49.81,92.25,145.09,143.5,200.26,252.62,500.69,569.04,475.93,248.45,290.73,385.8,470.77,753.8,1053.1,1251.22,1368.3,1866.11,2126.36,2855.92,2872.53,4572.19,6860.4,6070.57,5197.41,4453.09,2953.34,3143.36,3763.72,4786.65,4518.85,4363.74
South Korea,X534T542,India: Exports to Korea (Mil.US$),64.2,42.27,61.61,83.36,74.09,73.44,83.29,106.73,123.3,282.39,163.6,241.29,196.38,230.44,278.62,394.29,503.83,480.33,347.83,434.43,457.25,452.3,601.48,734.86,913.29,1630.83,2342.85,2767.53,3820.02,3732.14,3641.06,4824.63,4142.32,4099.29,4709.02,3683.84,3552.64,4395.55,4801.22,4651.52,4516.5
Laos,X534T544,India: Exports to Lao P.D.R. (Mil.US$),0.19,0.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.07,0.04,0.05,0.11,0.04,0.33,0.43,0.33,0.98,1.35,5,4.05,1.97,0.72,2.07,4.77,3.15,3.47,4.35,20.65,8.23,14.63,27.46,45.52,63.47,51.57,24,23.63,37.45,29.28,27.87
Macau,X534T546,India: Exports to Macao (Mil.US$),#N/A,0.04,#N/A,#N/A,#N/A,0.01,0.02,0.02,0.03,0.57,0.09,0.34,0.41,0.25,1.52,1.44,1.97,2.75,1.45,0.83,1.03,1.32,3.11,3.96,2.36,2.37,1.83,3.75,5.59,40.85,1.19,1.72,1.05,1.43,0.92,1.72,1.78,7.38,7.45,1.24,14.1
Malaysia,X534T548,India: Exports to Malaysia (Mil.US$),67.71,48.02,52.78,57.32,66.59,59.71,64.39,69.9,84.49,138.89,125.58,202.75,221.76,232.17,250.17,355.4,457.25,500.2,363.75,415.75,567.93,778.17,755.45,856.91,970.46,1142.41,1268.7,2251.77,3145.96,3463.78,3551.32,3917.17,3788.17,5053.54,4604.96,4940.74,4198.04,5548.7,6516.8,6263.43,6194.01
Maldives,X534T556,India: Exports to Maldives (Mil.US$),2.94,0.56,2.93,1.36,1.58,0.72,1.86,2.28,3.03,#N/A,4.7,4.91,7.7,6.32,15.61,12.47,50.74,9.13,8.48,7.58,20.28,25.25,30.41,39.65,42.47,62.59,68.44,84.35,109.7,107.54,100.38,118.91,122.69,109.87,139.84,168.92,181.76,213.49,220.94,226.2,196.17
Nepal,X534T558,India: Exports to Nepal (Mil.US$),94.5,79.46,51.07,61.53,94.97,81.74,82.05,72.85,81.98,214.65,39.54,77.28,72.85,75.45,84.52,107.13,157.6,168.93,134.3,144,143.4,189.01,316.38,589.6,713.68,830.76,911.36,1361.66,1706.86,1417.25,1906.76,2686.98,3058.91,3438.62,4405.08,3310.6,4614.51,5567.22,7343.39,7101.75,5854.6
Pakistan,X534T564,India: Exports to Pakistan (Mil.US$),2.08,3.09,8.3,8.12,11.19,12.07,13.21,12.21,19.27,42.35,43.48,40.17,51.98,57.78,59.38,70.4,140.95,146.7,115.38,96.2,163.33,164.29,190.62,266.74,450.82,647.19,1184.51,1795.53,1779.27,1449.37,2250.89,1676.23,1747.34,2247.65,2181.82,2007.62,1646.06,1795.82,2362.21,1192.59,282.38
Philippines,X534T566,India: Exports to Philippines (Mil.US$),8.7,4.51,9.56,7.56,6.05,4.23,5.04,11.4,18.5,40.53,21.32,64.37,76.9,48.12,95.37,122.33,173.93,224.93,148.7,137.3,187.83,230.33,415.95,359.15,375.79,474.05,560.57,609.62,779.51,699.84,804.09,1008.14,1116.61,1367.17,1436.34,1309,1492.35,1586.02,1750.37,1634.71,1416.03
Singapore,X534T576,India: Exports to Singapore (Mil.US$),126.84,94.83,125.96,129.18,124.68,103.03,172.89,188.27,218,370.81,308.3,386.47,515.06,727.4,737.97,806.63,942.63,829.15,583.05,633.9,826,909.51,1309.26,1949.02,3377.84,5069.12,5908.02,7042.89,9112.16,6721.49,9093.86,16147.32,14692.51,13478.66,9644.91,7702.97,7571.9,11590.97,10428.27,10792.9,8295.02
Thailand,X534T578,India: Exports to Thailand (Mil.US$),46.63,41.26,29.75,45.37,27.12,21.52,38.46,59.42,84.7,131.86,201.07,198.94,242.04,317.92,374.39,461.19,434.1,369.78,326.75,417.45,509.98,595.1,691.68,801.56,849.97,1031.83,1352.09,1717.02,2168.53,1592.29,2144.92,3224.45,3455.33,3905.51,3484.62,3154.48,2962.11,3592.12,4370.93,4332.84,3777.06
East Timor,X534T579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,X534T582,India: Exports to Viet Nam (Mil.US$),74.43,12.11,17.63,11.63,10.48,12.99,13.08,8.79,16.98,#N/A,8.26,12.93,18.53,22.11,42.94,97.31,127.28,124.48,125.7,147.15,208.03,216.76,307.59,392.17,497.44,657,909.62,1447.43,1999.79,1722.47,2485.12,3403,3671.46,5302.62,6508.22,5337.68,5956.33,8121.12,6710.27,5507.74,4500.55
fmr Poss India,X534T588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Poss India,X534T597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,X534T611,India: Exports to Djibouti (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,#N/A,1.73,9.44,10.9,10.1,6.6,5.49,8.02,8.65,12.18,11.58,18.5,15.29,32.12,64.61,111.39,204.93,288.32,420.19,398.9,249.58,299.41,485.04,393.89,361.99,297.12,204.9,270.93,274.82,853.13,357.3,337.35
Algeria,X534T612,India: Exports to Algeria (Mil.US$),10.91,11.47,18.3,8.96,18.55,13.27,29.49,10.15,11.58,13.15,2.62,10.76,11.89,17.72,21.54,6.76,9.7,15.55,22.73,16.95,19.35,26.77,57.44,108.31,197.81,261.34,319.71,366.64,596.35,647.64,774.21,1023.67,1013.26,1104.86,1078.07,853.41,860.69,784.47,945.57,745.15,542.73
Angola,X534T614,India: Exports to Angola (Mil.US$),1.92,0.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,0.39,3.61,14.46,7.19,0.59,7.54,8.33,10.5,9.5,6.55,12.78,24.51,34.24,62.24,67.98,131.97,188.28,247.64,342.39,575.03,600.37,539.76,537.54,500.89,609.2,272.52,139.84,233.87,269,288.66,241.13
Botswana,X534T616,India: Exports to Botswana (Mil.US$),1.62,0.56,0.57,0.34,0.52,0.14,0.24,0.11,0.13,#N/A,1.13,#N/A,1.21,1.63,0.63,0.7,1,2.35,2.38,2.13,4.73,5.24,4.21,6.04,7.13,10.06,10.84,15.41,24.18,20.09,34.6,45.08,54.11,52.63,50.61,45.14,73.49,97.19,144.55,196.55,149.35
Burundi,X534T618,India: Exports to Burundi (Mil.US$),0.06,0.04,0.1,0.07,0.17,0.03,0.05,0.49,0.4,#N/A,0.68,1.38,0.95,1.76,4.92,10.91,10.43,2.03,1.1,1.43,2.62,3.19,4.03,5.25,6.74,9.86,8.63,8.01,11.74,11.25,17.24,21.34,32.03,30.46,30.76,29.87,30.25,44.57,42.66,56.68,64.24
Cameroon,X534T622,India: Exports to Cameroon (Mil.US$),3.29,1.75,1.12,0.93,0.4,0.66,1.6,1.47,1.47,2.27,1.24,4.4,8.81,2.85,1.45,5.35,4.92,6.1,8.38,6.85,8.88,11.89,19.25,22.72,25.11,32.7,70.92,75.2,95.04,67.69,113.16,163.64,237.99,288.46,230.81,213.89,153.73,192.34,164.75,216.01,253.9
Cape Verde,X534T624,India: Exports to Cabo Verde (Mil.US$),0.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,#N/A,#N/A,0.01,#N/A,0.01,#N/A,0.08,0.03,#N/A,0.1,0.11,0.07,0.45,0.26,0.2,0.37,0.36,0.59,0.53,0.56,0.93,0.84,4.25,1.46,1.38,1.39,1.49,2.19,3.25
CAR,X534T626,India: Exports to Cent African Republic (Mil.US$),0.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.12,0.18,3.76,4.79,1.58,0.25,0.5,0.19,0.88,16.08,5.48,0.13,0.7,0.74,2.39,1.25,1.34,1.26,2.16,1.58,1.98,1.87,5.95,5.16,7.99,10.53,6.41,8.92,10.19,31.12,24.01,54.57,21.47
Chad,X534T628,India: Exports to Chad (Mil.US$),0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.03,#N/A,0.34,0.63,0.88,0.48,0.56,2.22,4.06,4.53,3.48,5.13,2.95,4.61,1.9,2.26,3.38,4.03,22.17,16.85,17.46,5.43,11.04,33.87,23.96,52.78,35.2,52.91,37.45,26.06,30.74,52.37,61.83
Comoros,X534T632,India: Exports to Comoros (Mil.US$),0.02,0.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.03,#N/A,0.21,3.26,0.09,0.47,0.23,0.89,1.38,1.08,1.38,1.43,1.17,1.88,5.38,3.06,2.31,4.43,12.93,11.18,24.13,9.21,9.38,9.97,19.13,15.64,16.51,15.94,20.43,20.12,29.34,19.39,17.32
Congo (Brazzaville),X534T634,India: Exports to Rep of Congo (Mil.US$),0.06,0.2,0.41,0.24,0.24,0.02,0.17,0.69,0.55,#N/A,0.03,0.12,0.23,0.38,0.39,0.64,0.65,10.93,20.33,22.38,35.15,37.67,49.64,59.29,79.94,107.03,130.1,147.33,210.27,195.73,203.95,361.07,222.51,207.05,225.41,207.64,146.49,116.92,128.49,113.67,106.55
Democratic Republic of Congo,X534T636,"India: Exports to Congo, Dem Rep (Mil.US$)",0.3,0.62,0.49,0.63,0.83,1,0.48,1.67,1.61,#N/A,3.03,2.13,3.69,7.25,13.83,28.26,32.02,23.78,10.88,5.45,4.6,3.49,4.14,9.44,4.9,2.23,1.41,3.44,11.77,10.39,11.16,7.02,117.92,161.72,220.62,322.37,234,209.67,277.34,355.96,357.94
Benin,X534T638,India: Exports to Benin (Mil.US$),37.14,50.66,34.2,13.34,4.81,3.87,5.47,9.34,11.23,#N/A,10.27,10.65,7.47,10.78,7.57,9.5,15.05,19.68,25.5,28.08,40.93,50.67,62.12,55.62,46.11,84.24,137.78,244.36,218.15,195.89,262.95,602.95,433.74,829.1,530.36,406.37,441.23,484.91,384.22,419.92,440.5
Equatorial Guinea,X534T642,India: Exports to Eq Guinea (Mil.US$),0.01,0.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,0.05,0.02,0.05,0.04,0.08,0.1,0.03,0.23,0.43,0.2,0.66,2.86,5.79,5.18,9.47,7.64,7.29,8.66,16.73,19.4,21.28,14.39,13.95,16.17,11.02,11.02,10.05,13.89
Eritrea,X534T643,India: Exports to Eritrea (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8.24,7.03,84.62,21.5,7.64,44.01,22.03,29.6,15.77,14.2,7.11,4.67,7,9.59,5.78,8.68
Ethiopia,X534T644,India: Exports to Ethiopia (Mil.US$),12.56,7.31,6.37,5.53,7.38,13.57,4.49,4.96,8.43,4.29,13.93,4.46,13.01,13.9,33.32,26.67,54.46,63.78,65.48,59.18,64.28,95.3,69.18,75.82,60.36,69.93,105.51,177.19,223.23,278.32,262.06,418.67,637.26,879.15,762.37,763.98,831.71,712.58,708.52,821.97,666.7
Gabon,X534T646,India: Exports to Gabon (Mil.US$),0.01,0.34,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.02,0.31,0.02,0.12,0.45,0.94,2.88,4.38,4.4,4.83,5.68,14.63,12.33,9.91,15.02,16.63,23.54,22.54,19.96,34.65,48.87,55.15,56.87,40.96,37.79,42.5,44.47,51.28,49.72,52.33
Gambia,X534T648,India: Exports to Gambia (Mil.US$),1.5,0.18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,#N/A,0.31,3.05,6.65,2.6,2.23,4.2,6.87,13.6,15.38,15.85,15.55,13.17,13.94,13.76,14.01,16.32,24.85,29.58,28.42,34.03,37.72,65.47,57.27,68.28,88.49,55.81,60.72,108.33,145.98,145.41,116.36
Ghana,X534T652,India: Exports to Ghana (Mil.US$),6.73,8.74,10.53,6.47,12,7.21,4.65,4.45,5,#N/A,7.51,12.08,15.79,15.96,16.12,25.88,37.89,47,59.38,62.2,59.68,63.32,96.33,163.41,175.97,196.39,396.01,720.63,558.72,362.8,512.2,863.87,752.17,848.85,669.5,642.88,712.64,638.55,727.31,602.52,749.16
Guinea-Bissau,X534T654,India: Exports to Guinea-Bissau (Mil.US$),0.03,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.07,0.03,0.05,0.05,1.36,0.73,0.81,1.13,3.65,7.88,13.05,9.33,5.73,2.9,1.22,0.78,0.69,3.52,1.92,34.69,3.65,6.62,11.59,14.96,17.47,11.63,22.07,12.77,8.08,12.38,11.72
Guinea,X534T656,India: Exports to Guinea (Mil.US$),0.32,0.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.06,#N/A,0.34,0.98,1.61,2.26,2.54,7.48,2.64,5.53,6.48,8.75,12.43,18.09,31.93,34.93,45.73,52.02,73.11,117.9,88.98,74.7,79.3,129.45,187.75,200.25,257.86,277.95,331.32,366.17,406.71,351.9,454.01
Côte d'Ivoire,X534T662,India: Exports to Cote d'Ivoire (Mil.US$),1.55,9.98,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.75,#N/A,1.97,5.68,3.24,2.91,3.94,29.38,20.04,14.03,52.88,42.4,43.05,50.18,49.88,85.82,98.93,104.86,132.78,229.42,114.12,109.6,109.71,186.17,422.42,325.91,288.23,384.75,382.49,538.29,440.74,428.54,499.08
Kenya,X534T664,India: Exports to Kenya (Mil.US$),40.13,29.1,22.72,11.06,20.31,25.56,27.22,25,30.39,45.17,37.6,41.82,52.48,60.49,93.64,233.22,187.58,135.05,139.88,123.83,134.85,153.13,191.69,223.01,368.47,539.06,1130.76,1512.92,1624.68,1350.92,1997.73,2132.64,3789.56,3603.02,4477.17,3051.01,2428.73,1821.08,2126.61,1933.49,1985.8
Lesotho,X534T666,India: Exports to Lesotho (Mil.US$),0.77,0.79,0.58,0.13,0.35,0.45,0.02,0.04,0.03,#N/A,0,#N/A,2.74,3.81,0.35,0.09,0.14,0.18,0.13,0.18,0.13,0.14,2.89,5.12,9.77,12.93,7.29,7.76,34.2,12.34,18.22,20.52,18.06,25.39,39.78,32.97,28.99,32.62,32.3,41.75,40.1
Liberia,X534T668,India: Exports to Liberia (Mil.US$),1.89,1.81,1.84,1.13,2.38,1.49,1.2,2.17,3.16,#N/A,4.63,11.08,6.57,16.98,4.86,12.87,8.34,9.08,4.78,10.05,11.55,6.23,7.7,13.21,17.04,20.44,23.38,23.25,27.57,28.5,38.39,68.32,114.13,179.56,261.46,160.25,126.79,253.3,182.24,223.58,216.64
Libya,X534T672,India: Exports to Libya (Mil.US$),28.74,4.17,9.05,4.69,10.93,20.69,2.14,6.6,6.77,#N/A,3.24,9.66,3.76,12.2,3.16,6.37,28.98,35.48,27.9,22.8,11.65,8.36,15.57,18.46,132.41,120.85,90.49,123.11,111.86,208.04,163.41,53.03,183.34,293.56,196.34,122.74,126,119.12,133.7,199.02,142.33
Madagascar,X534T674,India: Exports to Madagascar (Mil.US$),0.23,0.01,0.5,0.36,0.01,0.12,0.07,0.55,0.92,#N/A,2.56,1.9,2.21,3.42,3.68,6.82,3.53,6.85,9.33,9.38,10.4,12.87,14.27,33.02,35.09,41.02,44.89,54.28,249.15,86.31,64.38,119.78,155.8,212.38,196.68,194.52,147.57,265.99,215.79,301.43,312.24
